Rank,Team,GM,W-L,FGM,FGA,FG%
142,UAB (CUSA),39,29-10,"1,112","2,462",45.2
143,West Virginia (Big 12),34,19-15,882,"1,953",45.2
143,Jacksonville (ASUN),29,13-16,686,"1,519",45.2
145,Morgan St. (MEAC),31,15-16,863,"1,911",45.2
146,Mercer (SoCon),33,14-19,851,"1,885",45.1
147,Loyola Maryland (Patriot),33,13-20,822,"1,821",45.1
148,A&M-Corpus Christi (Southland),35,24-11,971,"2,152",45.1
149,San Diego (WCC),31,11-20,849,"1,882",45.1
150,Abilene Christian (WAC),30,13-17,812,"1,800",45.1
151,Weber St. (Big Sky),33,18-15,779,"1,727",45.1
152,George Mason (Atlantic 10),33,20-13,800,"1,774",45.1
153,Binghamton (America East),31,13-18,794,"1,763",45
154,Michigan (Big Ten),34,18-16,898,"1,994",45
155,NC State (ACC),34,23-11,982,"2,181",45
156,UMBC (America East),32,18-14,869,"1,931",45
157,South Dakota St. (Summit League),32,19-13,812,"1,805",45
158,Kent St. (MAC),35,28-7,957,"2,128",45
159,Wichita St. (AAC),32,17-15,827,"1,839",45
160,Baylor (Big 12),34,23-11,880,"1,957",45
161,Virginia (ACC),33,25-8,793,"1,765",44.9
162,St. John's (NY) (Big East),33,18-15,970,"2,159",44.9
163,Illinois (Big Ten),33,20-13,874,"1,946",44.9
164,Tennessee St. (OVC),32,18-14,868,"1,935",44.9
165,Oregon (Pac-12),36,21-15,916,"2,043",44.8
166,Niagara (MAAC),31,16-15,736,"1,642",44.8
167,UTEP (CUSA),32,14-18,796,"1,776",44.8
168,Northern Colo. (Big Sky),32,12-20,826,"1,843",44.8
169,Southern Ill. (MVC),33,23-10,769,"1,716",44.8
170,Cincinnati (AAC),36,23-13,"1,022","2,281",44.8
171,Maryland (Big Ten),35,22-13,862,"1,925",44.8
172,Portland St. (Big Sky),31,12-19,835,"1,865",44.8
173,Towson (CAA),33,21-12,860,"1,922",44.7
174,San Francisco (WCC),34,20-14,883,"1,975",44.7
175,Pittsburgh (ACC),36,24-12,930,"2,081",44.7
176,UNC Greensboro (SoCon),32,20-12,816,"1,831",44.6
177,South Fla. (AAC),32,14-18,844,"1,894",44.6
178,Nevada (Mountain West),33,22-11,799,"1,794",44.5
179,Idaho St. (Big Sky),32,11-21,794,"1,785",44.5
180,Akron (MAC),33,22-11,844,"1,898",44.5
181,Northwestern St. (Southland),33,22-11,900,"2,024",44.5
182,UC Davis (Big West),32,18-14,809,"1,820",44.5
183,Sacramento St. (Big Sky),32,14-18,778,"1,751",44.4
184,UNCW (CAA),34,24-10,813,"1,832",44.4
185,High Point (Big South),31,14-17,813,"1,834",44.3
186,Robert Morris (Horizon),33,16-17,844,"1,904",44.3
187,Iowa St. (Big 12),33,19-14,834,"1,882",44.3
188,Little Rock (OVC),31,10-21,845,"1,907",44.3
189,Lehigh (Patriot),30,16-14,752,"1,698",44.3
190,Eastern Ill. (OVC),31,9-22,797,"1,800",44.3
191,Charleston So. (Big South),31,10-21,819,"1,850",44.3
192,Notre Dame (ACC),32,11-21,810,"1,830",44.3
193,UC Riverside (Big West),34,22-12,906,"2,047",44.3
194,Davidson (Atlantic 10),32,16-16,785,"1,774",44.3
195,New Mexico St. (WAC),24,9-15,631,"1,426",44.2
196,Louisiana Tech (CUSA),33,15-18,854,"1,930",44.2
197,Dartmouth (Ivy League),28,10-18,719,"1,626",44.2
198,Texas St. (Sun Belt),35,16-19,848,"1,918",44.2
199,Alabama (SEC),37,31-6,"1,023","2,314",44.2
200,UIW (Southland),31,12-19,776,"1,756",44.2
201,App State (Sun Belt),32,16-16,819,"1,854",44.2
202,Omaha (Summit League),32,9-23,797,"1,805",44.2
203,Eastern Ky. (ASUN),37,23-14,"1,098","2,487",44.1
204,Murray St. (MVC),32,17-15,805,"1,824",44.1
205,North Dakota (Summit League),33,13-20,858,"1,945",44.1
205,Troy (Sun Belt),33,20-13,858,"1,945",44.1
207,Alabama A&M (SWAC),33,15-18,823,"1,868",44.1
208,Wyoming (Mountain West),31,9-22,740,"1,680",44
209,Western Ky. (CUSA),33,17-16,839,"1,907",44
210,Valparaiso (MVC),32,11-21,814,"1,852",44
211,Eastern Mich. (MAC),31,8-23,803,"1,827",44
212,Auburn (SEC),34,21-13,875,"1,991",43.9
213,Harvard (Ivy League),28,14-14,700,"1,593",43.9
214,Seton Hall (Big East),33,17-16,784,"1,785",43.9
215,Delaware (CAA),33,17-16,816,"1,859",43.9
216,Richmond (Atlantic 10),33,15-18,786,"1,791",43.9
217,Purdue Fort Wayne (Horizon),32,17-15,836,"1,906",43.9
218,Jacksonville St. (ASUN),31,13-18,747,"1,705",43.8
219,Northern Ariz. (Big Sky),35,12-23,930,"2,123",43.8
220,San Diego St. (Mountain West),39,32-7,986,"2,251",43.8
221,Brown (Ivy League),27,14-13,682,"1,557",43.8
222,Boston College (ACC),33,16-17,819,"1,873",43.7
223,Southeast Mo. St. (OVC),36,19-17,958,"2,191",43.7
224,Tennessee Tech (OVC),33,16-17,860,"1,967",43.7
225,Duquesne (Atlantic 10),33,20-13,897,"2,052",43.7
226,FGCU (ASUN),32,17-15,805,"1,844",43.7
227,North Texas (CUSA),38,31-7,854,"1,957",43.6
228,Butler (Big East),32,14-18,771,"1,767",43.6
229,Ga. Southern (Sun Belt),33,17-16,840,"1,926",43.6
230,Holy Cross (Patriot),32,10-22,812,"1,862",43.6
231,Florida (SEC),33,16-17,830,"1,904",43.6
232,Florida St. (ACC),32,9-23,802,"1,840",43.6
233,Manhattan (MAAC),30,12-18,733,"1,682",43.6
234,Morehead St. (OVC),34,22-12,823,"1,889",43.6
235,Col. of Charleston (CAA),35,31-4,959,"2,202",43.6
236,Villanova (Big East),34,17-17,807,"1,853",43.6
