Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Opp 3FG%
310,Central Ark. (ASUN),31,9-22,769,279,36.3
311,Manhattan (MAAC),30,12-18,628,228,36.3
312,Loyola Maryland (Patriot),33,13-20,658,239,36.3
313,FIU (CUSA),32,14-18,765,278,36.3
314,Rice (CUSA),35,19-16,809,294,36.3
315,Abilene Christian (WAC),30,13-17,517,188,36.4
316,Delaware (CAA),33,17-16,653,238,36.4
316,UT Arlington (WAC),32,11-21,653,238,36.4
318,Colorado St. (Mountain West),33,15-18,809,295,36.5
319,Toledo (MAC),35,27-8,807,295,36.6
320,Iowa (Big Ten),33,19-14,640,234,36.6
321,North Ala. (ASUN),33,18-15,722,264,36.6
322,Detroit Mercy (Horizon),33,14-19,757,277,36.6
323,Canisius (MAAC),30,10-20,554,203,36.6
324,Houston Christian (Southland),32,10-22,660,242,36.7
325,UC Davis (Big West),32,18-14,559,205,36.7
326,VMI (SoCon),32,7-25,935,343,36.7
327,Samford (SoCon),32,21-11,782,287,36.7
328,Arkansas St. (Sun Belt),33,13-20,596,219,36.7
329,Oakland (Horizon),32,13-19,769,283,36.8
330,Boston College (ACC),33,16-17,744,274,36.8
331,Monmouth (CAA),33,7-26,829,307,37
332,Louisiana Tech (CUSA),33,15-18,752,279,37.1
333,Weber St. (Big Sky),33,18-15,730,271,37.1
334,Hampton (CAA),32,8-24,701,262,37.4
335,Presbyterian (Big South),32,5-27,592,222,37.5
336,Hartford (DI Independent),28,5-23,609,229,37.6
337,Fresno St. (Mountain West),31,11-20,603,227,37.6
338,Florida St. (ACC),32,9-23,773,291,37.6
339,UMBC (America East),32,18-14,721,272,37.7
340,Portland (WCC),33,14-19,891,337,37.8
341,Idaho (Big Sky),32,10-22,586,222,37.9
342,Evansville (MVC),32,5-27,745,283,38
343,Southeastern La. (Southland),32,18-14,772,295,38.2
344,Ball St. (MAC),32,20-12,619,237,38.3
345,American (Patriot),32,17-15,561,216,38.5
346,McNeese (Southland),34,11-23,747,290,38.8
347,Georgetown (Big East),32,7-25,791,308,38.9
348,St. Francis Brooklyn (NEC),30,14-16,454,177,39
349,Little Rock (OVC),31,10-21,689,270,39.2
350,South Carolina St. (MEAC),31,5-26,652,259,39.7
351,Delaware St. (MEAC),30,6-24,702,283,40.3
352,San Diego (WCC),31,11-20,757,309,40.8
