Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
221,Central Mich. (MAC),31,10-21,191,637,20.5
222,Nevada (Mountain West),33,22-11,238,678,20.5
223,Manhattan (MAAC),30,12-18,205,616,20.5
224,Nebraska (Big Ten),32,16-16,214,657,20.5
225,UTRGV (WAC),32,15-17,222,655,20.5
226,N.C. Central (MEAC),30,18-12,221,614,20.5
227,Abilene Christian (WAC),30,13-17,211,613,20.4
228,Middle Tenn. (CUSA),33,19-14,228,674,20.4
229,Saint Francis (PA) (NEC),31,13-18,240,633,20.4
230,Miami (FL) (ACC),37,29-8,278,755,20.4
231,Ball St. (MAC),32,20-12,240,651,20.3
232,Colorado (Pac-12),35,18-17,229,712,20.3
233,Ole Miss (SEC),33,12-21,203,671,20.3
234,St. Bonaventure (Atlantic 10),32,14-18,226,650,20.3
235,Duke (ACC),36,27-9,245,731,20.3
236,Maryland (Big Ten),35,22-13,233,710,20.3
237,Jacksonville (ASUN),29,13-16,200,588,20.3
238,Colgate (Patriot),35,26-9,286,709,20.3
239,Saint Peter's (MAAC),32,14-18,190,648,20.3
240,Hawaii (Big West),33,22-11,220,667,20.2
241,UNC Asheville (Big South),35,27-8,274,707,20.2
242,SMU (AAC),32,10-22,201,646,20.2
243,Norfolk St. (MEAC),33,22-11,225,664,20.1
244,Kansas (Big 12),36,28-8,251,724,20.1
245,UT Arlington (WAC),32,11-21,207,643,20.1
246,Towson (CAA),33,21-12,243,663,20.1
247,Campbell (Big South),34,16-18,228,683,20.1
248,Fairfield (MAAC),31,13-18,178,621,20
249,Ga. Southern (Sun Belt),33,17-16,207,659,20
250,San Diego St. (Mountain West),39,32-7,271,778,19.9
250,UAB (CUSA),39,29-10,276,778,19.9
252,Idaho (Big Sky),32,10-22,217,638,19.9
252,Oklahoma (Big 12),32,15-17,224,638,19.9
254,Gonzaga (WCC),37,31-6,279,737,19.9
255,Maine (America East),30,13-17,198,595,19.8
256,Butler (Big East),32,14-18,207,633,19.8
256,ETSU (SoCon),32,12-20,203,633,19.8
256,Florida St. (ACC),32,9-23,209,633,19.8
259,Prairie View (SWAC),32,13-19,191,631,19.7
260,Jackson St. (SWAC),33,14-19,207,650,19.7
261,UC Davis (Big West),32,18-14,214,630,19.7
262,Mississippi St. (SEC),34,21-13,178,669,19.7
263,Utah Valley (WAC),37,28-9,242,728,19.7
264,Sacramento St. (Big Sky),32,14-18,217,629,19.7
265,Eastern Mich. (MAC),31,8-23,192,608,19.6
266,Weber St. (Big Sky),33,18-15,218,647,19.6
267,Dayton (Atlantic 10),34,22-12,225,665,19.6
268,Saint Louis (Atlantic 10),33,21-12,230,645,19.5
269,Alabama St. (SWAC),31,8-23,185,605,19.5
270,Iona (MAAC),35,27-8,247,683,19.5
271,Lehigh (Patriot),30,16-14,205,584,19.5
272,USC Upstate (Big South),32,16-16,209,621,19.4
273,Evansville (MVC),32,5-27,199,618,19.3
274,Iowa St. (Big 12),33,19-14,211,637,19.3
275,Presbyterian (Big South),32,5-27,191,616,19.3
276,St. Francis Brooklyn (NEC),30,14-16,204,577,19.2
277,Siena (MAAC),32,17-15,213,611,19.1
278,Providence (Big East),33,21-12,218,630,19.1
279,Minnesota (Big Ten),31,9-22,192,591,19.1
280,Virginia (ACC),33,25-8,220,629,19.1
281,Texas A&M (SEC),35,25-10,217,666,19
282,Louisville (ACC),32,4-28,200,608,19
282,Xavier (Big East),37,27-10,274,703,19
284,Bethune-Cookman (SWAC),32,12-20,219,606,18.9
285,Oregon St. (Pac-12),32,11-21,192,605,18.9
286,Michigan St. (Big Ten),34,21-13,252,642,18.9
287,Mount St. Mary's (MAAC),33,13-20,220,622,18.8
288,Gardner-Webb (Big South),31,15-16,196,583,18.8
289,Southern California (Pac-12),33,22-11,214,620,18.8
290,UC Irvine (Big West),35,23-12,247,656,18.7
291,NJIT (America East),30,7-23,196,562,18.7
292,Georgetown (Big East),32,7-25,185,599,18.7
292,Holy Cross (Patriot),32,10-22,219,599,18.7
294,Louisiana (Sun Belt),34,26-8,239,635,18.7
295,Cal Poly (Big West),33,8-25,181,615,18.6
296,Ohio St. (Big Ten),35,16-19,239,650,18.6
