Rank,Team,GM,W-L,AST,TO,Ratio
174,Idaho (Big Sky),32,10-22,381,362,1.05
175,Grand Canyon (WAC),36,24-12,452,430,1.05
176,Lehigh (Patriot),30,16-14,370,353,1.05
177,Longwood (Big South),32,20-12,398,380,1.05
178,UNLV (Mountain West),32,19-13,411,394,1.04
179,UMass Lowell (America East),34,26-8,486,466,1.04
180,North Dakota (Summit League),33,13-20,394,378,1.04
181,BYU (Big 12),34,19-15,501,481,1.04
182,Delaware (CAA),33,17-16,389,374,1.04
183,Buffalo (MAC),32,15-17,470,452,1.04
184,UCF (AAC),34,19-15,469,452,1.04
185,Quinnipiac (MAAC),32,20-12,419,404,1.04
186,Sam Houston (WAC),34,26-8,460,446,1.03
187,Brown (Ivy League),27,14-13,372,361,1.03
188,Campbell (Big South),34,16-18,416,404,1.03
189,Nebraska (Big Ten),32,16-16,418,406,1.03
190,Loyola Maryland (Patriot),33,13-20,459,446,1.03
191,San Jose St. (Mountain West),35,21-14,428,416,1.03
192,Holy Cross (Patriot),32,10-22,398,387,1.03
193,UIC (MVC),32,12-20,421,410,1.03
194,Nicholls (Southland),31,16-15,431,420,1.03
195,Charleston So. (Big South),31,10-21,373,365,1.02
196,Sacramento St. (Big Sky),32,14-18,436,427,1.02
197,Texas A&M (SEC),35,25-10,439,430,1.02
198,James Madison (Sun Belt),33,22-11,444,435,1.02
199,Boston College (ACC),33,16-17,413,405,1.02
200,Temple (AAC),32,16-16,441,434,1.02
201,Boise St. (Mountain West),34,24-10,385,379,1.02
202,Sacred Heart (NEC),33,16-17,444,438,1.01
203,North Ala. (ASUN),33,18-15,378,373,1.01
204,Wagner (NEC),28,15-13,339,335,1.01
205,Army West Point (Patriot),33,17-16,432,427,1.01
206,Coastal Carolina (Sun Belt),31,11-20,383,379,1.01
207,Miami (OH) (MAC),32,12-20,440,436,1.01
208,Arkansas (SEC),36,22-14,462,458,1.01
209,William & Mary (CAA),33,13-20,401,398,1.01
