Rank,Team,GM,W-L,Fouls,PFPG,DQ
233,Boston U. (Patriot),32,15-17,561,17.5,6
234,Howard (MEAC),35,22-13,614,17.5,10
235,Middle Tenn. (CUSA),33,19-14,579,17.5,10
235,Portland (WCC),33,14-19,579,17.5,13
237,Weber St. (Big Sky),33,18-15,580,17.6,15
238,UTSA (CUSA),32,10-22,563,17.6,13
239,LIU (NEC),29,3-26,511,17.6,17
240,Idaho St. (Big Sky),32,11-21,564,17.6,15
241,San Diego (WCC),31,11-20,547,17.6,13
242,East Carolina (AAC),33,16-17,583,17.7,14
242,James Madison (Sun Belt),33,22-11,583,17.7,10
244,Pepperdine (WCC),31,9-22,548,17.7,16
245,Ohio (MAC),33,19-14,585,17.7,11
246,Bowling Green (MAC),31,11-20,550,17.7,5
247,UConn (Big East),39,31-8,692,17.7,10
248,South Fla. (AAC),32,14-18,568,17.8,9
249,Seton Hall (Big East),33,17-16,586,17.8,10
250,IU Indy (Horizon),32,5-27,570,17.8,7
250,Oregon St. (Pac-12),32,11-21,570,17.8,8
252,La Salle (Atlantic 10),34,15-19,606,17.8,10
252,Sam Houston (WAC),34,26-8,606,17.8,8
254,Cal St. Fullerton (Big West),33,20-13,590,17.9,16
255,Kansas St. (Big 12),36,26-10,644,17.9,14
256,Mississippi Val. (SWAC),32,5-27,573,17.9,12
257,Mercer (SoCon),33,14-19,592,17.9,11
257,Nevada (Mountain West),33,22-11,592,17.9,12
259,Milwaukee (Horizon),34,22-12,610,17.9,6
260,Alabama St. (SWAC),31,8-23,557,18,8
260,Rhode Island (Atlantic 10),31,9-22,557,18,8
262,Houston Christian (Southland),32,10-22,575,18,14
263,Binghamton (America East),31,13-18,558,18,11
263,Grand Canyon (WAC),36,24-12,648,18,12
263,Texas St. (Sun Belt),35,16-19,630,18,15
263,UTEP (CUSA),32,14-18,576,18,13
267,Kennesaw St. (ASUN),35,26-9,631,18,9
267,Missouri (SEC),35,25-10,631,18,7
269,Eastern Ill. (OVC),31,9-22,559,18,15
270,Montana (Big Sky),31,17-14,560,18.1,9
271,Chicago St. (DI Independent),31,11-20,561,18.1,15
272,Penn (Ivy League),30,17-13,543,18.1,12
273,Norfolk St. (MEAC),33,22-11,598,18.1,8
274,Charleston So. (Big South),31,10-21,562,18.1,14
275,Seattle U (WAC),32,20-12,581,18.2,14
276,Memphis (AAC),35,26-9,637,18.2,18
276,Texas A&M (SEC),35,25-10,637,18.2,15
278,Miami (OH) (MAC),32,12-20,583,18.2,16
279,Omaha (Summit League),32,9-23,584,18.3,14
280,Rider (MAAC),30,16-14,548,18.3,11
281,UT Martin (OVC),33,19-14,603,18.3,12
282,Kansas City (Summit League),32,11-21,585,18.3,21
283,DePaul (Big East),33,10-23,604,18.3,23
284,Montana St. (Big Sky),35,25-10,641,18.3,9
285,Northwestern St. (Southland),33,22-11,605,18.3,13
286,Hampton (CAA),32,8-24,587,18.3,16
287,UNCW (CAA),34,24-10,624,18.4,14
288,Delaware St. (MEAC),30,6-24,551,18.4,15
289,Southern Utah (WAC),37,24-13,680,18.4,25
290,Illinois St. (MVC),32,11-21,590,18.4,8
291,High Point (Big South),31,14-17,573,18.5,11
292,San Francisco (WCC),34,20-14,629,18.5,11
292,UC Riverside (Big West),34,22-12,629,18.5,16
294,Northern Ariz. (Big Sky),35,12-23,649,18.5,16
295,Arizona St. (Pac-12),36,23-13,668,18.6,13
296,UAlbany (America East),31,8-23,576,18.6,11
297,West Virginia (Big 12),34,19-15,632,18.6,16
298,Duquesne (Atlantic 10),33,20-13,614,18.6,8
299,Northern Colo. (Big Sky),32,12-20,596,18.6,22
299,St. Bonaventure (Atlantic 10),32,14-18,596,18.6,22
301,Alabama (SEC),37,31-6,691,18.7,14
302,Samford (SoCon),32,21-11,598,18.7,15
303,UC Davis (Big West),32,18-14,600,18.8,10
304,Texas Southern (SWAC),35,14-21,657,18.8,17
305,FDU (NEC),37,21-16,696,18.8,14
306,Buffalo (MAC),32,15-17,602,18.8,17
307,CSU Bakersfield (Big West),33,11-22,621,18.8,16
308,Kent St. (MAC),35,28-7,659,18.8,13
309,New Mexico St. (WAC),24,9-15,453,18.9,10
310,Alcorn (SWAC),32,18-14,605,18.9,11
310,CSUN (Big West),32,7-25,605,18.9,8
312,Alabama A&M (SWAC),33,15-18,624,18.9,8
312,Grambling (SWAC),33,24-9,624,18.9,16
314,Eastern Mich. (MAC),31,8-23,587,18.9,16
315,A&M-Corpus Christi (Southland),35,24-11,665,19,12
315,Florida A&M (SWAC),29,7-22,551,19,5
317,UC Irvine (Big West),35,23-12,666,19,17
318,Pacific (WCC),33,15-18,628,19,9
319,Prairie View (SWAC),32,13-19,610,19.1,16
320,Gardner-Webb (Big South),31,15-16,594,19.2,8
321,N.C. Central (MEAC),30,18-12,575,19.2,14
322,Iowa St. (Big 12),33,19-14,633,19.2,11
323,Monmouth (CAA),33,7-26,635,19.2,12
324,Auburn (SEC),34,21-13,655,19.3,12
324,McNeese (Southland),34,11-23,655,19.3,15
326,Arkansas (SEC),36,22-14,694,19.3,25
327,NIU (MAC),32,13-19,617,19.3,24
327,Presbyterian (Big South),32,5-27,617,19.3,20
329,Wagner (NEC),28,15-13,540,19.3,10
330,New Orleans (Southland),32,12-20,619,19.3,14
330,UT Arlington (WAC),32,11-21,619,19.3,11
332,BYU (Big 12),34,19-15,659,19.4,12
333,Loyola Chicago (Atlantic 10),31,10-21,601,19.4,21
334,LMU (CA) (WCC),31,19-12,602,19.4,11
335,Fordham (Atlantic 10),33,25-8,647,19.6,12
336,Little Rock (OVC),31,10-21,609,19.6,27
337,Coppin St. (MEAC),32,9-23,629,19.7,15
338,Ark.-Pine Bluff (SWAC),31,10-21,611,19.7,26
339,Cal Poly (Big West),33,8-25,653,19.8,20
340,Central Mich. (MAC),31,10-21,614,19.8,20
341,USC Upstate (Big South),32,16-16,637,19.9,10
342,Southern U. (SWAC),32,15-17,639,20,13
343,UTRGV (WAC),32,15-17,641,20,24
344,Tennessee St. (OVC),32,18-14,654,20.4,20
345,South Carolina St. (MEAC),31,5-26,637,20.5,10
346,Abilene Christian (WAC),30,13-17,617,20.6,15
347,Nicholls (Southland),31,16-15,639,20.6,21
348,Morgan St. (MEAC),31,15-16,647,20.9,22
349,Saint Peter's (MAAC),32,14-18,681,21.3,14
350,Southeast Mo. St. (OVC),36,19-17,767,21.3,35
351,SFA (WAC),32,19-13,685,21.4,15
352,Portland St. (Big Sky),31,12-19,700,22.6,21
