Rank,Team,GM,W-L,OPP REB,OPP RPG,REB MAR
158,Binghamton (America East),31,13-18,"1,042",33.6,1.4
159,Michigan (Big Ten),34,18-16,"1,200",35.3,1.4
160,Charleston So. (Big South),31,10-21,"1,048",33.8,1.4
161,Prairie View (SWAC),32,13-19,"1,079",33.7,1.4
162,Kennesaw St. (ASUN),35,26-9,"1,188",33.9,1.3
163,American (Patriot),32,17-15,931,29.1,1.2
164,Bowling Green (MAC),31,11-20,"1,074",34.6,1.1
165,SFA (WAC),32,19-13,"1,067",33.3,1.1
166,Seton Hall (Big East),33,17-16,"1,121",34,1.1
167,Kansas (Big 12),36,28-8,"1,255",34.9,1.1
168,Rhode Island (Atlantic 10),31,9-22,"1,115",36,1.1
169,Robert Morris (Horizon),33,16-17,"1,110",33.6,1.1
170,Purdue Fort Wayne (Horizon),32,17-15,"1,107",34.6,1
171,TCU (Big 12),35,22-13,"1,221",34.9,0.9
172,LSU (SEC),33,14-19,"1,125",34.1,0.9
173,McNeese (Southland),34,11-23,"1,169",34.4,0.9
174,Kent St. (MAC),35,28-7,"1,223",34.9,0.7
175,Kansas St. (Big 12),36,26-10,"1,221",33.9,0.7
176,UNCW (CAA),34,24-10,"1,107",32.6,0.7
177,UNC Asheville (Big South),35,27-8,"1,196",34.2,0.7
178,Memphis (AAC),35,26-9,"1,234",35.3,0.6
178,Iona (MAAC),35,27-8,"1,223",34.9,0.6
180,Auburn (SEC),34,21-13,"1,211",35.6,0.6
181,Temple (AAC),32,16-16,"1,108",34.6,0.6
181,Murray St. (MVC),32,17-15,"1,093",34.2,0.6
