Rank,Team,GM,W-L,FTA PG
223,Marshall (Sun Belt),32,24-8,17.1
224,Florida A&M (SWAC),29,7-22,17.1
225,Nicholls (Southland),31,16-15,17.1
225,UMES (MEAC),31,18-13,17.1
227,Ole Miss (SEC),33,12-21,17.1
228,ETSU (SoCon),32,12-20,17.1
229,Purdue Fort Wayne (Horizon),32,17-15,17
230,La Salle (Atlantic 10),34,15-19,17
231,App State (Sun Belt),32,16-16,17
232,Dartmouth (Ivy League),28,10-18,17
233,William & Mary (CAA),33,13-20,16.9
234,New Hampshire (America East),30,15-15,16.9
235,FDU (NEC),37,21-16,16.9
236,Sam Houston (WAC),34,26-8,16.9
237,FIU (CUSA),32,14-18,16.9
237,Utah (Pac-12),32,17-15,16.9
239,Evansville (MVC),32,5-27,16.9
240,Binghamton (America East),31,13-18,16.9
241,UCF (AAC),34,19-15,16.8
242,McNeese (Southland),34,11-23,16.8
243,Columbia (Ivy League),29,7-22,16.8
244,IUPUI (Horizon),32,5-27,16.8
245,Sacred Heart (NEC),33,16-17,16.8
246,Rider (MAAC),30,16-14,16.7
247,Wofford (SoCon),33,17-16,16.7
248,Omaha (Summit League),32,9-23,16.7
249,Pepperdine (WCC),31,9-22,16.7
250,California (Pac-12),32,3-29,16.7
251,Rutgers (Big Ten),34,19-15,16.7
252,UCLA (Pac-12),37,31-6,16.6
253,Creighton (Big East),37,24-13,16.6
254,Illinois St. (MVC),32,11-21,16.6
255,Northwestern St. (Southland),33,22-11,16.6
256,Louisiana Tech (CUSA),33,15-18,16.5
257,St. Bonaventure (Atlantic 10),32,14-18,16.5
258,Minnesota (Big Ten),31,9-22,16.5
259,Stanford (Pac-12),33,14-19,16.5
260,Saint Peter's (MAAC),32,14-18,16.5
261,Drexel (CAA),32,17-15,16.5
262,Delaware St. (MEAC),30,6-24,16.5
263,Northern Ariz. (Big Sky),35,12-23,16.5
264,Middle Tenn. (CUSA),33,19-14,16.5
265,Cincinnati (AAC),36,23-13,16.4
266,Duquesne (Atlantic 10),33,20-13,16.4
267,Loyola Chicago (Atlantic 10),31,10-21,16.4
267,North Florida (ASUN),31,14-17,16.4
269,DePaul (Big East),33,10-23,16.4
270,Boston U. (Patriot),32,15-17,16.4
270,Green Bay (Horizon),32,3-29,16.4
272,Villanova (Big East),34,17-17,16.4
273,Ga. Southern (Sun Belt),33,17-16,16.3
273,Marquette (Big East),36,29-7,16.3
275,Valparaiso (MVC),32,11-21,16.3
276,NJIT (America East),30,7-23,16.3
277,Mercer (SoCon),33,14-19,16.2
278,NC State (ACC),34,23-11,16.2
279,Drake (MVC),35,27-8,16.2
280,Eastern Ky. (ASUN),37,23-14,16.2
281,Idaho St. (Big Sky),32,11-21,16.2
282,Cal Poly (Big West),33,8-25,16.1
283,Radford (Big South),36,21-15,16.1
284,Charleston So. (Big South),31,10-21,16.1
285,The Citadel (SoCon),32,10-22,16.1
286,Oklahoma (Big 12),32,15-17,16
287,Colorado St. (Mountain West),33,15-18,16
288,North Texas (CUSA),38,31-7,16
289,North Dakota (Summit League),33,13-20,16
290,Air Force (Mountain West),32,14-18,16
290,UMBC (America East),32,18-14,16
292,Austin Peay (ASUN),31,9-22,16
293,Washington St. (Pac-12),34,17-17,15.9
294,Marist (MAAC),33,13-20,15.9
295,Vermont (America East),34,23-11,15.9
296,Iowa St. (Big 12),33,19-14,15.9
297,Northern Ky. (Horizon),35,22-13,15.9
298,FGCU (ASUN),32,17-15,15.8
299,South Dakota St. (Summit League),32,19-13,15.8
300,Northeastern (CAA),30,10-20,15.8
301,Nebraska (Big Ten),32,16-16,15.8
302,Colgate (Patriot),35,26-9,15.7
303,Oral Roberts (Summit League),35,30-5,15.7
304,Bradley (MVC),35,25-10,15.6
305,Ohio St. (Big Ten),35,16-19,15.6
306,Central Ark. (ASUN),31,9-22,15.5
306,Western Mich. (MAC),31,8-23,15.5
308,Southern Ill. (MVC),33,23-10,15.5
309,Elon (CAA),32,8-24,15.5
310,Michigan St. (Big Ten),34,21-13,15.5
311,Montana (Big Sky),31,17-14,15.5
311,Niagara (MAAC),31,16-15,15.5
313,Boston College (ACC),33,16-17,15.5
313,CSU Bakersfield (Big West),33,11-22,15.5
315,UC Riverside (Big West),34,22-12,15.5
316,South Carolina (SEC),32,11-21,15.5
317,Tulsa (AAC),30,5-25,15.4
318,Loyola Maryland (Patriot),33,13-20,15.4
319,South Dakota (Summit League),31,12-19,15.4
320,Robert Morris (Horizon),33,16-17,15.3
321,Sacramento St. (Big Sky),32,14-18,15.3
322,Stony Brook (CAA),33,11-22,15.3
323,Wright St. (Horizon),33,18-15,15.2
324,Virginia Tech (ACC),34,19-15,15.1
325,San Jose St. (Mountain West),35,21-14,15.1
326,Lipscomb (ASUN),33,20-13,15
327,Missouri St. (MVC),32,17-15,15
328,Canisius (MAAC),30,10-20,14.9
329,Stetson (ASUN),31,17-14,14.9
330,Belmont (MVC),32,21-11,14.8
331,Liberty (ASUN),36,27-9,14.8
332,Holy Cross (Patriot),32,10-22,14.7
333,Bucknell (Patriot),32,12-20,14.5
334,Georgia Tech (ACC),33,15-18,14.5
335,Wagner (NEC),28,15-13,14.4
336,Butler (Big East),32,14-18,14.3
337,Wisconsin (Big Ten),35,20-15,14.3
338,American (Patriot),32,17-15,14.2
339,Mount St. Mary's (MAAC),33,13-20,14
340,Central Conn. St. (NEC),32,10-22,13.7
341,Fresno St. (Mountain West),31,11-20,13.5
342,Lafayette (Patriot),34,11-23,13.5
343,Navy (Patriot),31,18-13,13.5
344,Notre Dame (ACC),32,11-21,13.3
345,Maine (America East),30,13-17,13.2
346,Hartford (DI Independent),28,5-23,12.9
347,Charlotte (CUSA),36,22-14,12.9
348,South Alabama (Sun Belt),35,19-16,12.8
349,VMI (SoCon),32,7-25,12.7
350,Jacksonville (ASUN),29,13-16,12.2
351,Hofstra (CAA),35,25-10,12.1
352,Penn St. (Big Ten),37,23-14,12.1
