Rank,Team,GM,W-L,PTS,PPG
247,Binghamton (America East),31,13-18,"2,133",68.8
248,George Mason (Atlantic 10),33,20-13,"2,268",68.7
248,Mercer (SoCon),33,14-19,"2,268",68.7
250,USC Upstate (Big South),32,16-16,"2,198",68.7
251,Utah (Pac-12),32,17-15,"2,197",68.7
252,Dayton (Atlantic 10),34,22-12,"2,334",68.6
253,Siena (MAAC),32,17-15,"2,195",68.6
254,Georgia (SEC),32,16-16,"2,193",68.5
255,Omaha (Summit League),32,9-23,"2,192",68.5
255,UTEP (CUSA),32,14-18,"2,192",68.5
257,Maine (America East),30,13-17,"2,054",68.5
258,Rutgers (Big Ten),34,19-15,"2,326",68.4
259,Ga. Southern (Sun Belt),33,17-16,"2,257",68.4
260,Seton Hall (Big East),33,17-16,"2,256",68.4
261,Harvard (Ivy League),28,14-14,"1,914",68.4
262,Washington St. (Pac-12),34,17-17,"2,324",68.4
263,Oklahoma St. (Big 12),36,20-16,"2,458",68.3
264,Hampton (CAA),32,8-24,"2,183",68.2
265,Nebraska (Big Ten),32,16-16,"2,175",68
266,Bethune-Cookman (SWAC),32,12-20,"2,172",67.9
267,Lamar University (Southland),31,9-22,"2,104",67.9
268,Columbia (Ivy League),29,7-22,"1,966",67.8
269,Virginia (ACC),33,25-8,"2,237",67.8
270,Northern Ky. (Horizon),35,22-13,"2,372",67.8
271,Prairie View (SWAC),32,13-19,"2,168",67.8
272,Northwestern (Big Ten),34,22-12,"2,303",67.7
273,Alcorn (SWAC),32,18-14,"2,165",67.7
273,Oklahoma (Big 12),32,15-17,"2,165",67.7
275,Jackson St. (SWAC),33,14-19,"2,232",67.6
276,Iowa St. (Big 12),33,19-14,"2,231",67.6
276,LSU (SEC),33,14-19,"2,231",67.6
278,Bucknell (Patriot),32,12-20,"2,161",67.5
279,San Jose St. (Mountain West),35,21-14,"2,362",67.5
280,Ole Miss (SEC),33,12-21,"2,227",67.5
281,The Citadel (SoCon),32,10-22,"2,158",67.4
282,ULM (Sun Belt),32,11-21,"2,157",67.4
283,Loyola Chicago (Atlantic 10),31,10-21,"2,089",67.4
284,Loyola Maryland (Patriot),33,13-20,"2,222",67.3
285,UAlbany (America East),31,8-23,"2,086",67.3
286,Weber St. (Big Sky),33,18-15,"2,219",67.2
286,William & Mary (CAA),33,13-20,"2,219",67.2
288,UIC (MVC),32,12-20,"2,149",67.2
289,Manhattan (MAAC),30,12-18,"2,014",67.1
290,Boston U. (Patriot),32,15-17,"2,147",67.1
291,Charlotte (CUSA),36,22-14,"2,410",66.9
292,Air Force (Mountain West),32,14-18,"2,142",66.9
293,NJIT (America East),30,7-23,"2,008",66.9
294,Hawaii (Big West),33,22-11,"2,208",66.9
295,Ark.-Pine Bluff (SWAC),31,10-21,"2,074",66.9
296,Old Dominion (Sun Belt),31,19-12,"2,073",66.9
297,Holy Cross (Patriot),32,10-22,"2,136",66.8
297,St. Bonaventure (Atlantic 10),32,14-18,"2,136",66.8
299,LIU (NEC),29,3-26,"1,935",66.7
300,Drexel (CAA),32,17-15,"2,135",66.7
301,Georgia St. (Sun Belt),31,10-21,"2,068",66.7
302,Austin Peay (ASUN),31,9-22,"2,067",66.7
303,Boston College (ACC),33,16-17,"2,197",66.6
304,Illinois St. (MVC),32,11-21,"2,127",66.5
305,UT Arlington (WAC),32,11-21,"2,125",66.4
306,New Hampshire (America East),30,15-15,"1,992",66.4
307,Sacramento St. (Big Sky),32,14-18,"2,114",66.1
308,Rhode Island (Atlantic 10),31,9-22,"2,046",66
309,Texas St. (Sun Belt),35,16-19,"2,309",66
310,Central Conn. St. (NEC),32,10-22,"2,111",66
311,Central Mich. (MAC),31,10-21,"2,038",65.7
312,Arkansas St. (Sun Belt),33,13-20,"2,169",65.7
313,Mississippi St. (SEC),34,21-13,"2,234",65.7
314,Southern Ill. (MVC),33,23-10,"2,168",65.7
315,Missouri St. (MVC),32,17-15,"2,098",65.6
316,Elon (CAA),32,8-24,"2,094",65.4
317,American (Patriot),32,17-15,"2,093",65.4
318,Northeastern (CAA),30,10-20,"1,959",65.3
318,Tulsa (AAC),30,5-25,"1,959",65.3
320,IU Indy (Horizon),32,5-27,"2,089",65.3
321,Wisconsin (Big Ten),35,20-15,"2,284",65.3
322,Butler (Big East),32,14-18,"2,088",65.3
323,Niagara (MAAC),31,16-15,"2,016",65
324,Fairfield (MAAC),31,13-18,"2,012",64.9
325,St. Francis Brooklyn (NEC),30,14-16,"1,946",64.9
326,Delaware St. (MEAC),30,6-24,"1,939",64.6
327,North Texas (CUSA),38,31-7,"2,452",64.5
328,Kansas City (Summit League),32,11-21,"2,060",64.4
329,South Carolina (SEC),32,11-21,"2,059",64.3
330,Marist (MAAC),33,13-20,"2,110",63.9
331,Louisville (ACC),32,4-28,"2,046",63.9
332,Fresno St. (Mountain West),31,11-20,"1,974",63.7
333,Mount St. Mary's (MAAC),33,13-20,"2,101",63.7
334,CSUN (Big West),32,7-25,"2,028",63.4
335,Jacksonville (ASUN),29,13-16,"1,837",63.3
336,Alabama St. (SWAC),31,8-23,"1,963",63.3
337,Presbyterian (Big South),32,5-27,"2,021",63.2
338,Stony Brook (CAA),33,11-22,"2,083",63.1
339,Wagner (NEC),28,15-13,"1,766",63.1
340,Minnesota (Big Ten),31,9-22,"1,949",62.9
341,Hartford (DI Independent),28,5-23,"1,757",62.8
342,Evansville (MVC),32,5-27,"1,997",62.4
343,Lafayette (Patriot),34,11-23,"2,120",62.4
344,Saint Peter's (MAAC),32,14-18,"1,986",62.1
345,Monmouth (CAA),33,7-26,"2,036",61.7
346,Oregon St. (Pac-12),32,11-21,"1,959",61.2
347,Mississippi Val. (SWAC),32,5-27,"1,953",61
348,Cal Poly (Big West),33,8-25,"2,006",60.8
349,CSU Bakersfield (Big West),33,11-22,"1,995",60.5
350,Green Bay (Horizon),32,3-29,"1,898",59.3
351,Florida A&M (SWAC),29,7-22,"1,700",58.6
352,California (Pac-12),32,3-29,"1,866",58.3
