Rank,Team,GM,W-L,3FG PG
186,Colorado St. (Mountain West),36,25-11,7.3
186,Richmond (Atlantic 10),33,23-10,7.3
186,Texas Southern (SWAC),33,16-17,7.3
189,NIU (MAC),31,11-20,7.3
190,Valparaiso (MVC),32,7-25,7.3
191,Oregon (Pac-12),36,24-12,7.3
192,Hampton (CAA),33,9-24,7.3
192,Merrimack (NEC),33,21-12,7.3
192,Middle Tenn. (CUSA),33,14-19,7.3
192,Yale (Ivy League),33,23-10,7.3
196,Manhattan (MAAC),30,7-23,7.3
197,Missouri (SEC),32,8-24,7.3
197,West Virginia (Big 12),32,9-23,7.3
199,Campbell (CAA),32,14-18,7.3
199,Canisius (MAAC),32,14-18,7.3
201,SIUE (OVC),33,17-16,7.2
202,Radford (Big South),33,16-17,7.2
202,UNI (MVC),33,19-14,7.2
202,Wagner (NEC),33,17-16,7.2
205,Texas (Big 12),34,21-13,7.2
206,Lehigh (Patriot),32,14-18,7.2
206,Loyola Maryland (Patriot),32,7-25,7.2
208,St. John's (NY) (Big East),33,20-13,7.2
209,NJIT (America East),28,7-21,7.2
210,Mississippi St. (SEC),35,21-14,7.2
211,Louisiana Tech (CUSA),32,22-10,7.2
212,Wisconsin (Big Ten),36,22-14,7.1
213,Lafayette (Patriot),32,11-21,7.1
214,Texas A&M (SEC),36,21-15,7.1
215,Dartmouth (Ivy League),27,6-21,7.1
216,San Diego (WCC),33,18-15,7.1
217,Ohio St. (Big Ten),36,22-14,7.1
218,San Diego St. (Mountain West),37,26-11,7
218,Grand Canyon (WAC),35,30-5,7
220,UC Davis (Big West),33,20-13,7
221,Alabama St. (SWAC),32,13-19,7
222,NC State (ACC),41,26-15,7
223,Gonzaga (WCC),35,27-8,6.9
224,Fresno St. (Mountain West),33,12-21,6.9
225,Charleston So. (Big South),30,10-20,6.9
226,Old Dominion (Sun Belt),32,7-25,6.9
226,Southern U. (SWAC),32,18-14,6.9
228,Delaware (CAA),33,19-14,6.9
229,Colorado (Pac-12),37,26-11,6.9
230,Western Ky. (CUSA),34,22-12,6.9
231,Syracuse (ACC),32,20-12,6.8
232,Marist (MAAC),31,18-13,6.8
233,Xavier (Big East),34,16-18,6.8
234,Pepperdine (WCC),33,13-20,6.8
234,UCF (Big 12),33,17-16,6.8
236,George Mason (Atlantic 10),32,20-12,6.8
236,Wright St. (Horizon),32,18-14,6.8
238,UNLV (Mountain West),34,21-13,6.8
239,Mount St. Mary's (MAAC),32,13-19,6.8
240,Evansville (MVC),35,17-18,6.8
241,Missouri St. (MVC),33,17-16,6.8
242,Drexel (CAA),32,20-12,6.8
243,Massachusetts (Atlantic 10),31,20-11,6.7
244,Arizona St. (Pac-12),32,14-18,6.7
245,Central Conn. St. (NEC),31,20-11,6.7
246,Buffalo (MAC),31,4-27,6.7
247,Nevada (Mountain West),34,26-8,6.7
248,California Baptist (WAC),33,16-17,6.7
249,Iowa St. (Big 12),37,29-8,6.6
250,Iowa (Big Ten),34,19-15,6.6
251,East Carolina (AAC),33,15-18,6.6
252,Jackson St. (SWAC),32,15-17,6.6
253,App State (Sun Belt),34,27-7,6.6
253,TCU (Big 12),34,21-13,6.6
255,Tennessee St. (OVC),33,18-15,6.6
256,VMI (SoCon),32,4-28,6.6
257,Murray St. (MVC),32,12-20,6.5
257,Rhode Island (Atlantic 10),32,12-20,6.5
257,Vanderbilt (SEC),32,9-23,6.5
260,Tennessee Tech (OVC),31,10-21,6.5
261,Michigan St. (Big Ten),35,20-15,6.5
262,Jacksonville (ASUN),33,16-17,6.5
263,Charlotte (AAC),31,19-12,6.5
263,Coastal Carolina (Sun Belt),31,9-22,6.5
265,New Mexico (Mountain West),36,26-10,6.5
266,Virginia (ACC),34,23-11,6.5
266,Wichita St. (AAC),34,15-19,6.5
268,Cal St. Fullerton (Big West),32,14-18,6.5
268,Toledo (MAC),32,20-12,6.5
270,Utah St. (Mountain West),35,28-7,6.5
271,Cleveland St. (Horizon),36,21-15,6.4
272,New Mexico St. (CUSA),32,13-19,6.4
273,Saint Francis (PA) (NEC),30,8-22,6.4
274,Idaho St. (Big Sky),34,14-20,6.4
