Rank,Team,GM,W-L,FTA PG
266,Louisiana (Sun Belt),33,19-14,17.2
268,Old Dominion (Sun Belt),32,7-25,17.2
269,Michigan St. (Big Ten),35,20-15,17.2
270,Mississippi Val. (SWAC),31,1-30,17.2
271,Iona (MAAC),33,16-17,17.2
272,Mercer (SoCon),33,16-17,17.1
273,Detroit Mercy (Horizon),32,1-31,17.1
273,Murray St. (MVC),32,12-20,17.1
275,Saint Joseph's (Atlantic 10),35,21-14,17.1
276,Boston U. (Patriot),33,16-17,17
277,Montana St. (Big Sky),35,17-18,17
278,North Dakota St. (Summit League),32,15-17,17
279,South Dakota St. (Summit League),35,22-13,16.9
280,North Florida (ASUN),32,16-16,16.9
281,Morehead St. (OVC),35,26-9,16.9
282,Canisius (MAAC),32,14-18,16.9
282,Maine (America East),32,15-17,16.9
282,Siena (MAAC),32,4-28,16.9
285,Utah (Pac-12),37,22-15,16.9
286,Robert Morris (Horizon),32,10-22,16.9
286,Stanford (Pac-12),32,14-18,16.9
288,Coppin St. (MEAC),29,2-27,16.9
289,Northwestern (Big Ten),34,22-12,16.9
290,Tennessee Tech (OVC),31,10-21,16.8
291,Fresno St. (Mountain West),33,12-21,16.8
292,Saint Mary's (CA) (WCC),34,26-8,16.8
293,Fairfield (MAAC),37,24-13,16.8
294,Loyola Maryland (Patriot),32,7-25,16.8
295,LMU (CA) (WCC),31,12-19,16.7
296,Cornell (Ivy League),30,22-8,16.7
297,Montana (Big Sky),36,24-12,16.7
298,Lipscomb (ASUN),32,20-12,16.7
299,North Texas (AAC),34,19-15,16.6
300,Wofford (SoCon),32,17-15,16.6
301,Northeastern (CAA),32,12-20,16.6
302,Yale (Ivy League),33,23-10,16.5
303,Southeast Mo. St. (OVC),31,9-22,16.5
304,Evansville (MVC),35,17-18,16.5
305,Central Mich. (MAC),32,18-14,16.4
306,Eastern Ill. (OVC),32,14-18,16.3
307,Radford (Big South),33,16-17,16.3
308,Buffalo (MAC),31,4-27,16.3
309,Butler (Big East),33,18-15,16.2
310,Wichita St. (AAC),34,15-19,16.2
311,Vermont (America East),35,28-7,16.2
312,VMI (SoCon),32,4-28,16.2
313,Penn (Ivy League),29,11-18,16.1
313,Princeton (Ivy League),29,24-5,16.1
315,BYU (Big 12),34,23-11,16.1
316,Florida A&M (SWAC),29,6-23,16
317,Oral Roberts (Summit League),31,12-19,15.9
318,UNC Greensboro (SoCon),32,21-11,15.8
319,Richmond (Atlantic 10),33,23-10,15.8
320,Green Bay (Horizon),32,18-14,15.8
320,UMBC (America East),32,11-21,15.8
322,Marist (MAAC),31,18-13,15.7
323,Bradley (MVC),35,23-12,15.7
324,FGCU (ASUN),32,14-18,15.7
325,Dartmouth (Ivy League),27,6-21,15.6
326,Bucknell (Patriot),33,14-19,15.6
327,Marquette (Big East),37,27-10,15.6
328,Mount St. Mary's (MAAC),32,13-19,15.4
329,Colgate (Patriot),35,25-10,15.4
330,Notre Dame (ACC),33,13-20,15.4
331,American (Patriot),32,16-16,15.4
332,Villanova (Big East),34,18-16,15.3
333,Air Force (Mountain West),31,9-22,15.3
334,Idaho (Big Sky),32,11-21,15.2
335,La Salle (Atlantic 10),33,16-17,15.2
336,UIC (MVC),33,12-21,15.2
337,Miami (FL) (ACC),32,15-17,15.1
338,Wagner (NEC),33,17-16,15
339,Boston College (ACC),36,20-16,15
340,Creighton (Big East),35,25-10,14.8
341,Liberty (CUSA),32,18-14,14.8
342,Valparaiso (MVC),32,7-25,14.7
343,Eastern Mich. (MAC),31,13-18,14.6
344,Holy Cross (Patriot),33,10-23,14.4
345,Army West Point (Patriot),32,10-22,14
346,San Francisco (WCC),34,23-11,14
346,Virginia (ACC),34,23-11,14
348,Lafayette (Patriot),32,11-21,13.7
349,San Jose St. (Mountain West),32,9-23,13.2
350,Manhattan (MAAC),30,7-23,13.2
351,Hofstra (CAA),33,20-13,12.5
