Rank,Team,GM,W-L,PTS,PPG
176,Washington St. (Pac-12),35,25-10,"2,574",73.5
177,Gardner-Webb (Big South),33,17-16,"2,426",73.5
178,Stony Brook (CAA),35,20-15,"2,573",73.5
179,Houston (Big 12),37,32-5,"2,720",73.5
180,St. Bonaventure (Atlantic 10),33,20-13,"2,424",73.5
181,Oral Roberts (Summit League),31,12-19,"2,275",73.4
182,Ga. Southern (Sun Belt),33,9-24,"2,420",73.3
183,Northwestern (Big Ten),34,22-12,"2,493",73.3
184,Drexel (CAA),32,20-12,"2,346",73.3
185,UNI (MVC),33,19-14,"2,417",73.2
186,Delaware (CAA),33,19-14,"2,416",73.2
187,NIU (MAC),31,11-20,"2,269",73.2
188,Elon (CAA),32,13-19,"2,339",73.1
189,Loyola Chicago (Atlantic 10),33,23-10,"2,412",73.1
190,Michigan (Big Ten),32,8-24,"2,334",72.9
191,Bethune-Cookman (SWAC),34,17-17,"2,479",72.9
192,Michigan St. (Big Ten),35,20-15,"2,551",72.9
193,Wyoming (Mountain West),32,15-17,"2,331",72.8
194,Pepperdine (WCC),33,13-20,"2,403",72.8
195,Wichita St. (AAC),34,15-19,"2,475",72.8
196,Tennessee St. (OVC),33,18-15,"2,400",72.7
197,Mount St. Mary's (MAAC),32,13-19,"2,327",72.7
198,Lehigh (Patriot),32,14-18,"2,326",72.7
198,Robert Morris (Horizon),32,10-22,"2,326",72.7
200,Morgan St. (MEAC),31,11-20,"2,253",72.7
201,La Salle (Atlantic 10),33,16-17,"2,398",72.7
202,Southern Ill. (MVC),32,19-13,"2,325",72.7
203,UTEP (CUSA),34,18-16,"2,470",72.6
204,Rhode Island (Atlantic 10),32,12-20,"2,322",72.6
205,San Diego (WCC),33,18-15,"2,392",72.5
206,Niagara (MAAC),32,16-16,"2,319",72.5
207,Monmouth (CAA),33,18-15,"2,390",72.4
208,Providence (Big East),35,21-14,"2,534",72.4
209,LMU (CA) (WCC),31,12-19,"2,244",72.4
210,Indiana (Big Ten),33,19-14,"2,386",72.3
211,Hawaii (Big West),34,20-14,"2,458",72.3
212,UIW (Southland),31,8-23,"2,240",72.3
213,Kansas St. (Big 12),34,19-15,"2,454",72.2
214,Central Conn. St. (NEC),31,20-11,"2,237",72.2
215,Central Ark. (ASUN),32,9-23,"2,309",72.2
215,Missouri (SEC),32,8-24,"2,309",72.2
215,Rider (MAAC),32,15-17,"2,309",72.2
218,Sam Houston (CUSA),33,21-12,"2,381",72.2
219,Abilene Christian (WAC),34,16-18,"2,452",72.1
