Rank,Team,GM,REB,RPG
196,Ohio (MAC),33,"1,153",34.94
197,Minnesota (Big Ten),34,"1,187",34.91
198,Ball St. (MAC),31,"1,082",34.90
198,Buffalo (MAC),31,"1,082",34.90
198,LMU (CA) (WCC),31,"1,082",34.90
201,UC Santa Barbara (Big West),31,"1,081",34.87
202,Harvard (Ivy League),27,941,34.85
203,Villanova (Big East),34,"1,184",34.82
204,Illinois St. (MVC),32,"1,114",34.81
205,Duquesne (Atlantic 10),37,"1,288",34.81
206,UNC Asheville (Big South),34,"1,182",34.76
207,Middle Tenn. (CUSA),33,"1,147",34.76
208,Stetson (ASUN),35,"1,216",34.74
209,Wright St. (Horizon),32,"1,111",34.72
210,Michigan St. (Big Ten),35,"1,215",34.71
210,NJIT (America East),28,972,34.71
212,Bradley (MVC),35,"1,214",34.69
213,North Texas (AAC),34,"1,179",34.68
213,Texas (Big 12),34,"1,179",34.68
215,Tennessee St. (OVC),33,"1,144",34.67
216,CSU Bakersfield (Big West),32,"1,109",34.66
216,Davidson (Atlantic 10),32,"1,109",34.66
218,Kent St. (MAC),34,"1,178",34.65
219,Radford (Big South),33,"1,143",34.64
220,Vermont (America East),35,"1,212",34.63
221,Ark.-Pine Bluff (SWAC),31,"1,073",34.61
222,La Salle (Atlantic 10),33,"1,142",34.61
223,Saint Francis (PA) (NEC),30,"1,038",34.60
224,Northwestern St. (Southland),32,"1,107",34.59
225,Northern Ky. (Horizon),33,"1,141",34.58
226,Florida A&M (SWAC),29,"1,002",34.55
227,Arkansas (SEC),33,"1,139",34.52
227,New Orleans (Southland),33,"1,139",34.52
229,Eastern Mich. (MAC),31,"1,069",34.48
230,Wyoming (Mountain West),32,"1,103",34.47
231,Vanderbilt (SEC),32,"1,102",34.44
232,Norfolk St. (MEAC),35,"1,205",34.43
233,Delaware St. (MEAC),34,"1,170",34.41
234,Oregon (Pac-12),36,"1,238",34.39
235,UNCW (CAA),31,"1,066",34.39
236,Louisville (ACC),32,"1,100",34.38
237,Drake (MVC),35,"1,202",34.34
238,Louisiana (Sun Belt),33,"1,133",34.33
239,Nevada (Mountain West),34,"1,167",34.32
240,FGCU (ASUN),32,"1,098",34.31
241,Mercer (SoCon),33,"1,132",34.30
242,Loyola Maryland (Patriot),32,"1,097",34.28
242,North Dakota St. (Summit League),32,"1,097",34.28
242,Stanford (Pac-12),32,"1,097",34.28
245,Belmont (MVC),33,"1,130",34.24
245,Ga. Southern (Sun Belt),33,"1,130",34.24
247,UNLV (Mountain West),34,"1,164",34.24
248,Wake Forest (ACC),35,"1,197",34.20
249,The Citadel (SoCon),32,"1,094",34.19
250,San Diego (WCC),33,"1,128",34.18
251,San Francisco (WCC),34,"1,159",34.09
252,Montana (Big Sky),36,"1,227",34.08
253,Georgetown (Big East),32,"1,090",34.06
254,Southern California (Pac-12),33,"1,123",34.03
255,Army West Point (Patriot),32,"1,088",34.00
255,Wisconsin (Big Ten),36,"1,224",34.00
257,Hawaii (Big West),34,"1,155",33.97
258,Liberty (CUSA),32,"1,087",33.97
259,Austin Peay (ASUN),35,"1,188",33.94
260,Alcorn (SWAC),32,"1,086",33.94
261,Iowa St. (Big 12),37,"1,254",33.89
262,UNI (MVC),33,"1,117",33.85
263,Eastern Wash. (Big Sky),32,"1,083",33.84
264,Southern Utah (WAC),31,"1,049",33.84
265,Elon (CAA),32,"1,082",33.81
266,Pepperdine (WCC),33,"1,115",33.79
266,UCLA (Pac-12),33,"1,115",33.79
268,Toledo (MAC),32,"1,081",33.78
269,West Virginia (Big 12),32,"1,080",33.75
270,New Mexico St. (CUSA),32,"1,079",33.72
270,Sacred Heart (NEC),32,"1,079",33.72
272,Portland (WCC),33,"1,112",33.70
273,Oklahoma St. (Big 12),32,"1,078",33.69
274,Omaha (Summit League),33,"1,111",33.67
275,Evansville (MVC),35,"1,178",33.66
276,UIC (MVC),33,"1,110",33.64
277,North Florida (ASUN),32,"1,076",33.63
278,Chicago St. (DI Independent),32,"1,074",33.56
279,Dayton (Atlantic 10),33,"1,107",33.55
279,Saint Louis (Atlantic 10),33,"1,107",33.55
281,Abilene Christian (WAC),34,"1,139",33.50
281,Bethune-Cookman (SWAC),34,"1,139",33.50
283,Fairfield (MAAC),37,"1,239",33.49
284,Ole Miss (SEC),32,"1,071",33.47
285,UTRGV (WAC),31,"1,037",33.45
286,Colorado St. (Mountain West),36,"1,203",33.42
287,UC Davis (Big West),33,"1,102",33.39
288,Princeton (Ivy League),29,966,33.31
289,Presbyterian (Big South),33,"1,099",33.30
290,Florida St. (ACC),33,"1,098",33.27
291,Dartmouth (Ivy League),27,898,33.26
292,Arizona St. (Pac-12),32,"1,064",33.25
292,Lafayette (Patriot),32,"1,064",33.25
292,Lipscomb (ASUN),32,"1,064",33.25
