Rank,Team,GM,W-L,DRebs,DRPG
86,Long Beach St. (Big West),36,21-15,949,26.36
87,Villanova (Big East),34,18-16,896,26.35
87,Xavier (Big East),34,16-18,896,26.35
89,Utah St. (Mountain West),35,28-7,922,26.34
90,Rider (MAAC),32,15-17,840,26.25
91,Central Conn. St. (NEC),31,20-11,813,26.23
91,Tulane (AAC),31,14-17,813,26.23
93,Ark.-Pine Bluff (SWAC),31,13-18,812,26.19
94,Cincinnati (Big 12),37,22-15,968,26.16
95,Akron (MAC),35,24-11,915,26.14
96,Ohio St. (Big Ten),36,22-14,941,26.14
97,VCU (Atlantic 10),38,24-14,993,26.13
98,Sam Houston (CUSA),33,21-12,862,26.12
99,San Diego St. (Mountain West),37,26-11,966,26.11
100,Indiana (Big Ten),33,19-14,861,26.09
100,Notre Dame (ACC),33,13-20,861,26.09
100,South Fla. (AAC),33,25-8,861,26.09
103,Quinnipiac (MAAC),34,24-10,887,26.09
104,Southern Miss. (Sun Belt),32,16-16,834,26.06
105,Arkansas (SEC),33,16-17,858,26.00
105,Boston U. (Patriot),33,16-17,858,26.00
105,Duke (ACC),36,27-9,936,26.00
108,Evansville (MVC),35,17-18,908,25.94
109,Boston College (ACC),36,20-16,933,25.92
110,George Mason (Atlantic 10),32,20-12,829,25.91
111,Columbia (Ivy League),27,13-14,699,25.89
112,Butler (Big East),33,18-15,854,25.88
113,Cornell (Ivy League),30,22-8,776,25.87
114,Dartmouth (Ivy League),27,6-21,698,25.85
115,FDU (NEC),32,15-17,827,25.84
116,UNI (MVC),33,19-14,852,25.82
117,North Dakota St. (Summit League),32,15-17,826,25.81
118,UIW (Southland),31,8-23,800,25.81
119,Iowa (Big Ten),34,19-15,877,25.79
120,Eastern Wash. (Big Sky),32,21-11,825,25.78
121,Montana (Big Sky),36,24-12,928,25.78
122,Georgia (SEC),37,20-17,953,25.76
123,Wake Forest (ACC),35,21-14,901,25.74
124,Little Rock (OVC),34,21-13,875,25.74
125,Hampton (CAA),33,9-24,849,25.73
126,Central Mich. (MAC),32,18-14,823,25.72
127,Saint Joseph's (Atlantic 10),35,21-14,900,25.71
128,Nicholls (Southland),34,20-14,874,25.71
129,Boise St. (Mountain West),33,22-11,847,25.67
129,Pittsburgh (ACC),33,22-11,847,25.67
131,Wright St. (Horizon),32,18-14,821,25.66
132,Mississippi St. (SEC),35,21-14,897,25.63
133,Lipscomb (ASUN),32,20-12,820,25.63
134,UT Arlington (WAC),34,20-14,871,25.62
135,Lamar University (Southland),33,19-14,845,25.61
136,Harvard (Ivy League),27,14-13,691,25.59
137,LIU (NEC),29,7-22,742,25.59
138,California Baptist (WAC),33,16-17,844,25.58
139,Colorado St. (Mountain West),36,25-11,920,25.56
140,Hawaii (Big West),34,20-14,868,25.53
141,NIU (MAC),31,11-20,791,25.52
142,Dayton (Atlantic 10),33,25-8,842,25.52
143,Charleston So. (Big South),30,10-20,765,25.50
143,Oklahoma (Big 12),32,20-12,816,25.50
145,Penn (Ivy League),29,11-18,739,25.48
146,North Ala. (ASUN),32,15-17,815,25.47
147,Milwaukee (Horizon),35,20-15,891,25.46
148,Denver (Summit League),34,17-17,865,25.44
148,Nevada (Mountain West),34,26-8,865,25.44
150,Davidson (Atlantic 10),32,15-17,814,25.44
150,Old Dominion (Sun Belt),32,7-25,814,25.44
150,UNC Greensboro (SoCon),32,21-11,814,25.44
153,Bradley (MVC),35,23-12,890,25.43
154,UIC (MVC),33,12-21,839,25.42
155,Ball St. (MAC),31,15-16,788,25.42
156,Mount St. Mary's (MAAC),32,13-19,813,25.41
157,Texas A&M (SEC),36,21-15,914,25.39
158,Brown (Ivy League),31,13-18,787,25.39
158,Oral Roberts (Summit League),31,12-19,787,25.39
160,UNC Asheville (Big South),34,22-12,863,25.38
161,Alabama St. (SWAC),32,13-19,812,25.38
162,Portland (WCC),33,12-21,836,25.33
163,Western Mich. (MAC),32,12-20,810,25.31
164,UCF (Big 12),33,17-16,835,25.30
165,SMU (AAC),33,20-13,834,25.27
166,Jacksonville St. (CUSA),32,14-18,808,25.25
166,Liberty (CUSA),32,18-14,808,25.25
166,Oakland (Horizon),36,24-12,909,25.25
169,Seton Hall (Big East),37,25-12,934,25.24
170,LSU (SEC),33,17-16,832,25.21
171,Central Ark. (ASUN),32,9-23,806,25.19
171,Miami (OH) (MAC),32,15-17,806,25.19
171,Portland St. (Big Sky),32,17-15,806,25.19
174,Houston Christian (Southland),29,6-23,730,25.17
175,Samford (SoCon),35,29-6,881,25.17
176,NC State (ACC),41,26-15,"1,032",25.17
177,North Dakota (Summit League),32,18-14,805,25.16
178,Arkansas St. (Sun Belt),37,20-17,930,25.14
179,Rice (AAC),32,11-21,804,25.13
180,Omaha (Summit League),33,15-18,829,25.12
181,South Alabama (Sun Belt),32,16-16,803,25.09
181,Troy (Sun Belt),32,20-12,803,25.09
183,UAB (AAC),35,23-12,878,25.09
184,Memphis (AAC),32,22-10,802,25.06
185,Hofstra (CAA),33,20-13,827,25.06
186,Stetson (ASUN),35,22-13,877,25.06
187,LMU (CA) (WCC),31,12-19,775,25.00
187,Texas Tech (Big 12),34,23-11,850,25.00
189,Marist (MAAC),31,18-13,774,24.97
190,Florida A&M (SWAC),29,6-23,724,24.97
191,Temple (AAC),36,16-20,898,24.94
192,Longwood (Big South),35,21-14,873,24.94
193,Canisius (MAAC),32,14-18,797,24.91
194,Massachusetts (Atlantic 10),31,20-11,772,24.90
195,Princeton (Ivy League),29,24-5,722,24.90
196,Towson (CAA),34,20-14,846,24.88
197,Rutgers (Big Ten),32,15-17,796,24.88
197,Wyoming (Mountain West),32,15-17,796,24.88
199,Ohio (MAC),33,20-13,820,24.85
199,Saint Louis (Atlantic 10),33,13-20,820,24.85
199,William & Mary (CAA),33,10-23,820,24.85
202,Arizona St. (Pac-12),32,14-18,795,24.84
202,Kansas City (Summit League),32,16-16,795,24.84
204,McNeese (Southland),34,30-4,844,24.82
204,Minnesota (Big Ten),34,19-15,844,24.82
206,Campbell (CAA),32,14-18,794,24.81
206,Michigan (Big Ten),32,8-24,794,24.81
206,The Citadel (SoCon),32,11-21,794,24.81
209,New Mexico St. (CUSA),32,13-19,793,24.78
209,Winthrop (Big South),32,17-15,793,24.78
211,Tennessee St. (OVC),33,18-15,817,24.76
212,North Florida (ASUN),32,16-16,792,24.75
213,Illinois St. (MVC),32,15-17,791,24.72
214,Tennessee Tech (OVC),31,10-21,766,24.71
215,Texas (Big 12),34,21-13,840,24.71
216,ETSU (SoCon),35,19-16,864,24.69
217,San Francisco (WCC),34,23-11,839,24.68
218,Wagner (NEC),33,17-16,814,24.67
219,Maine (America East),32,15-17,789,24.66
219,UAlbany (America East),32,13-19,789,24.66
221,Virginia Tech (ACC),34,19-15,838,24.65
222,Howard (MEAC),35,18-17,862,24.63
222,Michigan St. (Big Ten),35,20-15,862,24.63
224,Syracuse (ACC),32,20-12,787,24.59
