Rank,Team,GM,W-L,3FG%
255,Georgia Tech (ACC),32,14-18,32.6
256,Providence (Big East),35,21-14,32.5
257,Saint Peter's (MAAC),33,19-14,32.5
258,Tennessee St. (OVC),33,18-15,32.5
259,Portland St. (Big Sky),32,17-15,32.5
260,Jackson St. (SWAC),32,15-17,32.5
261,Valparaiso (MVC),32,7-25,32.5
262,Akron (MAC),35,24-11,32.4
263,New Hampshire (America East),31,16-15,32.4
264,Furman (SoCon),33,17-16,32.4
265,Indiana (Big Ten),33,19-14,32.4
266,Youngstown St. (Horizon),32,22-10,32.3
267,William & Mary (CAA),33,10-23,32.3
268,Southern U. (SWAC),32,18-14,32.3
269,South Carolina St. (MEAC),32,14-18,32.3
270,Central Conn. St. (NEC),31,20-11,32.2
271,UCF (Big 12),33,17-16,32.2
272,Lehigh (Patriot),32,14-18,32.2
273,Milwaukee (Horizon),35,20-15,32.2
274,Mississippi St. (SEC),35,21-14,32.1
275,Coastal Carolina (Sun Belt),31,9-22,32.1
276,Murray St. (MVC),32,12-20,32.1
277,Bethune-Cookman (SWAC),34,17-17,32.1
278,Delaware St. (MEAC),34,15-19,32
279,Army West Point (Patriot),32,10-22,32
280,Eastern Ill. (OVC),32,14-18,32
281,Missouri (SEC),32,8-24,31.9
282,Western Ill. (OVC),33,21-12,31.9
283,Northern Ky. (Horizon),33,18-15,31.9
284,UTEP (CUSA),34,18-16,31.9
285,Old Dominion (Sun Belt),32,7-25,31.8
286,Arkansas (SEC),33,16-17,31.8
287,Temple (AAC),36,16-20,31.8
288,Northeastern (CAA),32,12-20,31.8
289,Kansas St. (Big 12),34,19-15,31.8
289,Notre Dame (ACC),33,13-20,31.8
291,Hampton (CAA),33,9-24,31.8
292,UC Riverside (Big West),34,16-18,31.7
293,Florida St. (ACC),33,17-16,31.7
294,Northwestern St. (Southland),32,9-23,31.7
295,Charlotte (AAC),31,19-12,31.7
296,Texas Southern (SWAC),33,16-17,31.6
297,Pacific (WCC),32,6-26,31.6
298,CSU Bakersfield (Big West),32,13-19,31.5
299,Manhattan (MAAC),30,7-23,31.5
300,Fordham (Atlantic 10),33,13-20,31.5
301,San Diego St. (Mountain West),37,26-11,31.5
302,Davidson (Atlantic 10),32,15-17,31.4
303,Missouri St. (MVC),33,17-16,31.4
304,Chicago St. (DI Independent),32,13-19,31.4
305,East Carolina (AAC),33,15-18,31.3
306,Massachusetts (Atlantic 10),31,20-11,31.3
307,Northern Ariz. (Big Sky),33,14-19,31.2
308,VMI (SoCon),32,4-28,31.2
309,Lafayette (Patriot),32,11-21,31.2
310,Middle Tenn. (CUSA),33,14-19,31.1
311,ETSU (SoCon),35,19-16,31.1
312,Marshall (Sun Belt),33,13-20,31
313,LIU (NEC),29,7-22,31
314,Merrimack (NEC),33,21-12,30.9
315,CSUN (Big West),34,19-15,30.7
316,Louisville (ACC),32,8-24,30.6
317,Binghamton (America East),30,15-15,30.6
318,Dartmouth (Ivy League),27,6-21,30.5
319,Prairie View (SWAC),31,10-21,30.5
320,Long Beach St. (Big West),36,21-15,30.5
321,Southeast Mo. St. (OVC),31,9-22,30.4
322,Eastern Mich. (MAC),31,13-18,30.4
323,New Orleans (Southland),33,10-23,30.4
324,Central Mich. (MAC),32,18-14,30.3
325,NJIT (America East),28,7-21,30.2
326,Houston Christian (Southland),29,6-23,30.1
327,Southern Utah (WAC),31,10-21,30
328,Arizona St. (Pac-12),32,14-18,30
329,Navy (Patriot),31,13-18,30
330,A&M-Corpus Christi (Southland),33,21-12,29.7
331,ULM (Sun Belt),30,11-19,29.6
332,Bowling Green (MAC),34,20-14,29.6
333,UMES (MEAC),29,9-20,29.5
334,Maine (America East),32,15-17,29.5
335,Texas A&M (SEC),36,21-15,29.3
336,Morgan St. (MEAC),31,11-20,29.3
337,UTRGV (WAC),31,6-25,29.3
338,Mississippi Val. (SWAC),31,1-30,29.2
339,Illinois St. (MVC),32,15-17,29.2
340,Maryland (Big Ten),33,16-17,28.9
341,N.C. A&T (CAA),32,7-25,28.7
342,Rutgers (Big Ten),32,15-17,28.7
343,Alabama A&M (SWAC),35,12-23,28.7
344,Utah Valley (WAC),32,16-16,28.5
345,Coppin St. (MEAC),29,2-27,28.3
346,Vanderbilt (SEC),32,9-23,28.3
347,Alabama St. (SWAC),32,13-19,28.1
348,Detroit Mercy (Horizon),32,1-31,28.1
349,Siena (MAAC),32,4-28,28
350,Buffalo (MAC),31,4-27,27.7
351,IU Indy (Horizon),32,6-26,24.8
