Rank,Team,GM,W-L,SCR MAR
241,The Citadel (SoCon),32,11-21,-0.9
242,Texas Southern (SWAC),33,16-17,-0.9
243,East Carolina (AAC),33,15-18,-1
244,Chicago St. (DI Independent),32,13-19,-1.1
245,Campbell (CAA),32,14-18,-1.1
246,Southern Miss. (Sun Belt),32,16-16,-1.2
246,Illinois St. (MVC),32,15-17,-1.2
246,Rutgers (Big Ten),32,15-17,-1.2
249,Pepperdine (WCC),33,13-20,-1.2
250,Cal St. Fullerton (Big West),32,14-18,-1.3
251,UIC (MVC),33,12-21,-1.3
252,UC Riverside (Big West),34,16-18,-1.3
253,Harvard (Ivy League),27,14-13,-1.4
254,Abilene Christian (WAC),34,16-18,-1.4
255,FDU (NEC),32,15-17,-1.6
255,Wyoming (Mountain West),32,15-17,-1.6
257,South Alabama (Sun Belt),32,16-16,-1.7
258,Ark.-Pine Bluff (SWAC),31,13-18,-1.7
259,Oklahoma St. (Big 12),32,12-20,-1.7
259,Canisius (MAAC),32,14-18,-1.7
261,Oral Roberts (Summit League),31,12-19,-1.9
262,USC Upstate (Big South),30,10-20,-1.9
263,Southeastern La. (Southland),32,15-17,-1.9
264,Fordham (Atlantic 10),33,13-20,-1.9
264,Bucknell (Patriot),33,14-19,-1.9
266,Grambling (SWAC),36,21-15,-1.9
267,Indiana (Big Ten),33,19-14,-2
268,Temple (AAC),36,16-20,-2
269,Arkansas (SEC),33,16-17,-2
270,UMBC (America East),32,11-21,-2.1
271,William & Mary (CAA),33,10-23,-2.3
272,Elon (CAA),32,13-19,-2.3
273,Evansville (MVC),35,17-18,-2.3
274,Southern Utah (WAC),31,10-21,-2.6
275,Marshall (Sun Belt),33,13-20,-2.9
275,FIU (CUSA),33,11-22,-2.9
277,Northeastern (CAA),32,12-20,-2.9
278,California (Pac-12),32,13-19,-3.1
279,Robert Morris (Horizon),32,10-22,-3.1
280,Notre Dame (ACC),33,13-20,-3.1
281,South Dakota (Summit League),32,12-20,-3.2
282,Sacramento St. (Big Sky),34,10-24,-3.3
283,UTSA (AAC),32,11-21,-3.4
283,Idaho (Big Sky),32,11-21,-3.4
285,Western Mich. (MAC),32,12-20,-3.6
285,Central Mich. (MAC),32,18-14,-3.6
287,Rice (AAC),32,11-21,-3.7
288,Rhode Island (Atlantic 10),32,12-20,-3.8
289,Oregon St. (Pac-12),32,13-19,-3.8
290,Missouri (SEC),32,8-24,-4
290,Army West Point (Patriot),32,10-22,-4
292,NIU (MAC),31,11-20,-4.2
293,Georgia Tech (ACC),32,14-18,-4.2
294,Jackson St. (SWAC),32,15-17,-4.3
295,Saint Louis (Atlantic 10),33,13-20,-4.5
296,Lafayette (Patriot),32,11-21,-4.5
297,South Carolina St. (MEAC),32,14-18,-4.5
298,ULM (Sun Belt),30,11-19,-4.6
299,Hampton (CAA),33,9-24,-4.6
300,Middle Tenn. (CUSA),33,14-19,-4.6
301,New Mexico St. (CUSA),32,13-19,-4.8
302,San Diego (WCC),33,18-15,-4.8
303,Morgan St. (MEAC),31,11-20,-4.8
304,Coastal Carolina (Sun Belt),31,9-22,-5
305,Arizona St. (Pac-12),32,14-18,-5
306,Northwestern St. (Southland),32,9-23,-5.4
307,UMES (MEAC),29,9-20,-5.4
308,San Jose St. (Mountain West),32,9-23,-5.5
309,Alcorn (SWAC),32,14-18,-5.5
310,New Orleans (Southland),33,10-23,-5.9
310,Ga. Southern (Sun Belt),33,9-24,-5.9
312,Central Ark. (ASUN),32,9-23,-6
313,Michigan (Big Ten),32,8-24,-6.1
314,Charleston So. (Big South),30,10-20,-6.1
315,Old Dominion (Sun Belt),32,7-25,-6.1
316,Prairie View (SWAC),31,10-21,-6.2
316,Air Force (Mountain West),31,9-22,-6.2
318,Fresno St. (Mountain West),33,12-21,-6.2
319,UIW (Southland),31,8-23,-6.3
320,Tennessee Tech (OVC),31,10-21,-6.5
320,Southeast Mo. St. (OVC),31,9-22,-6.5
