Rank,Team,GM,W-L,FT PG
199,Kansas (Big 12),34,23-11,13.4
199,Texas (Big 12),34,21-13,13.4
201,Akron (MAC),35,24-11,13.3
202,Oklahoma St. (Big 12),32,12-20,13.3
203,UMES (MEAC),29,9-20,13.3
204,The Citadel (SoCon),32,11-21,13.3
205,Montana (Big Sky),36,24-12,13.3
206,Duquesne (Atlantic 10),37,25-12,13.2
207,Marshall (Sun Belt),33,13-20,13.2
208,Binghamton (America East),30,15-15,13.2
209,Providence (Big East),35,21-14,13.2
210,Cleveland St. (Horizon),36,21-15,13.2
211,Central Conn. St. (NEC),31,20-11,13.2
211,Coastal Carolina (Sun Belt),31,9-22,13.2
213,William & Mary (CAA),33,10-23,13.2
214,DePaul (Big East),32,3-29,13.2
214,Michigan (Big Ten),32,8-24,13.2
216,App State (Sun Belt),34,27-7,13.1
217,Austin Peay (ASUN),35,19-16,13.1
218,California (Pac-12),32,13-19,13.1
219,South Carolina (SEC),34,26-8,13.1
220,Central Ark. (ASUN),32,9-23,13.1
221,Missouri St. (MVC),33,17-16,13.1
221,Pittsburgh (ACC),33,22-11,13.1
221,Texas Southern (SWAC),33,16-17,13.1
224,New Mexico St. (CUSA),32,13-19,13.1
224,Pacific (WCC),32,6-26,13.1
226,Towson (CAA),34,20-14,13.1
227,Rutgers (Big Ten),32,15-17,13
228,Charleston So. (Big South),30,10-20,13
228,Elon (CAA),32,13-19,13
228,Princeton (Ivy League),29,24-5,13
228,Washington St. (Pac-12),35,25-10,13
232,Stony Brook (CAA),35,20-15,13
233,Loyola Chicago (Atlantic 10),33,23-10,13
234,North Florida (ASUN),32,16-16,13
235,Columbia (Ivy League),27,13-14,12.9
236,Col. of Charleston (CAA),35,27-8,12.9
237,Belmont (MVC),33,20-13,12.9
237,Northern Colo. (Big Sky),33,19-14,12.9
237,St. John's (NY) (Big East),33,20-13,12.9
237,Western Ill. (OVC),33,21-12,12.9
241,Arizona St. (Pac-12),32,14-18,12.9
242,Butler (Big East),33,18-15,12.8
243,Hampton (CAA),33,9-24,12.8
244,Lipscomb (ASUN),32,20-12,12.8
245,Purdue Fort Wayne (Horizon),36,23-13,12.8
246,Houston (Big 12),37,32-5,12.8
247,Drexel (CAA),32,20-12,12.8
248,UC Riverside (Big West),34,16-18,12.7
249,Sacred Heart (NEC),32,16-16,12.7
250,Brown (Ivy League),31,13-18,12.7
251,Fairfield (MAAC),37,24-13,12.7
252,Northwestern (Big Ten),34,22-12,12.7
253,Monmouth (CAA),33,18-15,12.7
254,Kansas City (Summit League),32,16-16,12.7
255,Bryant (America East),33,20-13,12.6
255,Ga. Southern (Sun Belt),33,9-24,12.6
257,Miami (OH) (MAC),32,15-17,12.6
258,Idaho St. (Big Sky),34,14-20,12.6
259,Portland (WCC),33,12-21,12.6
259,SMU (AAC),33,20-13,12.6
261,Sacramento St. (Big Sky),34,10-24,12.6
262,Louisiana (Sun Belt),33,19-14,12.6
263,Detroit Mercy (Horizon),32,1-31,12.6
264,Cal Poly (Big West),32,4-28,12.5
265,Georgia Tech (ACC),32,14-18,12.4
266,LIU (NEC),29,7-22,12.4
267,Northeastern (CAA),32,12-20,12.4
268,Montana St. (Big Sky),35,17-18,12.4
268,Saint Joseph's (Atlantic 10),35,21-14,12.4
270,Villanova (Big East),34,18-16,12.4
271,Northern Ariz. (Big Sky),33,14-19,12.4
272,Delaware (CAA),33,19-14,12.3
273,Western Caro. (SoCon),32,22-10,12.3
274,Stanford (Pac-12),32,14-18,12.3
275,North Texas (AAC),34,19-15,12.3
276,Coppin St. (MEAC),29,2-27,12.2
277,LMU (CA) (WCC),31,12-19,12.2
278,Boston U. (Patriot),33,16-17,12.2
279,North Dakota St. (Summit League),32,15-17,12.2
280,Michigan St. (Big Ten),35,20-15,12.2
281,Maine (America East),32,15-17,12.2
282,Cornell (Ivy League),30,22-8,12.1
283,Rice (AAC),32,11-21,12.1
283,Robert Morris (Horizon),32,10-22,12.1
285,Radford (Big South),33,16-17,12
286,South Dakota St. (Summit League),35,22-13,12
287,Tennessee Tech (OVC),31,10-21,12
288,Morehead St. (OVC),35,26-9,11.9
289,BYU (Big 12),34,23-11,11.9
290,Eastern Ill. (OVC),32,14-18,11.9
290,Murray St. (MVC),32,12-20,11.9
292,Cincinnati (Big 12),37,22-15,11.9
293,Evansville (MVC),35,17-18,11.8
294,Oral Roberts (Summit League),31,12-19,11.8
295,Yale (Ivy League),33,23-10,11.7
296,Creighton (Big East),35,25-10,11.7
297,Buffalo (MAC),31,4-27,11.6
298,Western Mich. (MAC),32,12-20,11.6
299,Vermont (America East),35,28-7,11.6
300,Richmond (Atlantic 10),33,23-10,11.6
301,UNC Greensboro (SoCon),32,21-11,11.6
302,Southeast Mo. St. (OVC),31,9-22,11.5
303,FIU (CUSA),33,11-22,11.5
304,Fresno St. (Mountain West),33,12-21,11.5
305,Mercer (SoCon),33,16-17,11.5
305,Notre Dame (ACC),33,13-20,11.5
307,Bradley (MVC),35,23-12,11.4
308,Old Dominion (Sun Belt),32,7-25,11.4
309,Green Bay (Horizon),32,18-14,11.4
310,Saint Mary's (CA) (WCC),34,26-8,11.4
311,USC Upstate (Big South),30,10-20,11.3
312,Wichita St. (AAC),34,15-19,11.3
313,Mississippi Val. (SWAC),31,1-30,11.3
314,Siena (MAAC),32,4-28,11.3
315,Miami (FL) (ACC),32,15-17,11.3
316,Boston College (ACC),36,20-16,11.2
317,Florida A&M (SWAC),29,6-23,11.2
318,Saint Francis (PA) (NEC),30,8-22,11.2
319,Mount St. Mary's (MAAC),32,13-19,11.2
319,VMI (SoCon),32,4-28,11.2
321,Iona (MAAC),33,16-17,11.2
322,Idaho (Big Sky),32,11-21,11.2
323,Bucknell (Patriot),33,14-19,11.2
324,Penn (Ivy League),29,11-18,11.1
325,American (Patriot),32,16-16,11.1
326,La Salle (Atlantic 10),33,16-17,11
326,UMBC (America East),32,11-21,11
328,Utah (Pac-12),37,22-15,11
329,Marist (MAAC),31,18-13,11
330,Marquette (Big East),37,27-10,10.9
331,FGCU (ASUN),32,14-18,10.9
332,Central Mich. (MAC),32,18-14,10.8
333,Loyola Maryland (Patriot),32,7-25,10.8
334,Dartmouth (Ivy League),27,6-21,10.8
335,San Francisco (WCC),34,23-11,10.6
336,Wagner (NEC),33,17-16,10.6
337,Canisius (MAAC),32,14-18,10.6
338,Valparaiso (MVC),32,7-25,10.5
339,Colgate (Patriot),35,25-10,10.5
340,Air Force (Mountain West),31,9-22,10.5
341,UIC (MVC),33,12-21,10.4
342,Wofford (SoCon),32,17-15,10.3
343,Eastern Mich. (MAC),31,13-18,9.8
344,Liberty (CUSA),32,18-14,9.8
345,Holy Cross (Patriot),33,10-23,9.5
346,Manhattan (MAAC),30,7-23,9.5
347,Hofstra (CAA),33,20-13,9.4
348,San Jose St. (Mountain West),32,9-23,9.3
349,Lafayette (Patriot),32,11-21,9.2
350,Virginia (ACC),34,23-11,8.9
351,Army West Point (Patriot),32,10-22,8.3
