Rank,Team,GM,W-L,ORebs,ORPG
192,Kentucky (SEC),33,23-10,332,10.06
193,Wisconsin (Big Ten),36,22-14,362,10.06
194,Charleston So. (Big South),30,10-20,301,10.03
195,San Diego (WCC),33,18-15,331,10.03
195,Southern California (Pac-12),33,15-18,331,10.03
197,Old Dominion (Sun Belt),32,7-25,320,10.00
197,Utah (Pac-12),37,22-15,370,10.00
197,Valparaiso (MVC),32,7-25,320,10.00
200,Texas (Big 12),34,21-13,339,9.97
201,UNC Greensboro (SoCon),32,21-11,319,9.97
202,Colorado (Pac-12),37,26-11,368,9.95
202,Fairfield (MAAC),37,24-13,368,9.95
204,Texas Tech (Big 12),34,23-11,338,9.94
205,South Fla. (AAC),33,25-8,328,9.94
206,Louisville (ACC),32,8-24,318,9.94
206,Toledo (MAC),32,20-12,318,9.94
208,Oregon (Pac-12),36,24-12,357,9.92
209,Idaho St. (Big Sky),34,14-20,337,9.91
210,Tennessee St. (OVC),33,18-15,327,9.91
210,UC Davis (Big West),33,20-13,327,9.91
212,North Ala. (ASUN),32,15-17,317,9.91
213,LMU (CA) (WCC),31,12-19,307,9.90
214,Georgia (SEC),37,20-17,366,9.89
215,Yale (Ivy League),33,23-10,326,9.88
216,FGCU (ASUN),32,14-18,316,9.88
216,IU Indy (Horizon),32,6-26,316,9.88
218,Notre Dame (ACC),33,13-20,324,9.82
219,Columbia (Ivy League),27,13-14,265,9.81
220,Iowa (Big Ten),34,19-15,333,9.79
221,Prairie View (SWAC),31,10-21,303,9.77
222,Coppin St. (MEAC),29,2-27,283,9.76
223,Mount St. Mary's (MAAC),32,13-19,312,9.75
223,Southern U. (SWAC),32,18-14,312,9.75
225,St. Bonaventure (Atlantic 10),33,20-13,320,9.70
226,Oklahoma (Big 12),32,20-12,310,9.69
227,Stetson (ASUN),35,22-13,339,9.69
228,Abilene Christian (WAC),34,16-18,329,9.68
229,Army West Point (Patriot),32,10-22,308,9.63
230,Central Conn. St. (NEC),31,20-11,298,9.61
230,Mississippi Val. (SWAC),31,1-30,298,9.61
232,Grambling (SWAC),36,21-15,346,9.61
233,Loyola Chicago (Atlantic 10),33,23-10,317,9.61
234,Stony Brook (CAA),35,20-15,336,9.60
235,Wyoming (Mountain West),32,15-17,307,9.59
236,Nebraska (Big Ten),34,23-11,326,9.59
237,Florida A&M (SWAC),29,6-23,278,9.59
238,Penn St. (Big Ten),33,16-17,316,9.58
239,Cornell (Ivy League),30,22-8,287,9.57
240,Nicholls (Southland),34,20-14,325,9.56
241,UMBC (America East),32,11-21,304,9.50
242,Utah St. (Mountain West),35,28-7,332,9.49
243,Ball St. (MAC),31,15-16,294,9.48
244,Presbyterian (Big South),33,14-19,312,9.45
245,San Francisco (WCC),34,23-11,320,9.41
246,Washington (Pac-12),32,17-15,301,9.41
247,Boston College (ACC),36,20-16,338,9.39
248,UNC Asheville (Big South),34,22-12,319,9.38
249,LIU (NEC),29,7-22,272,9.38
250,N.C. A&T (CAA),32,7-25,300,9.38
250,Sacred Heart (NEC),32,16-16,300,9.38
250,The Citadel (SoCon),32,11-21,300,9.38
253,Boston U. (Patriot),33,16-17,309,9.36
254,UTRGV (WAC),31,6-25,290,9.35
255,Murray St. (MVC),32,12-20,299,9.34
255,VMI (SoCon),32,4-28,299,9.34
257,Butler (Big East),33,18-15,308,9.33
258,Harvard (Ivy League),27,14-13,250,9.26
259,Bradley (MVC),35,23-12,324,9.26
260,Chattanooga (SoCon),33,21-12,305,9.24
261,Davidson (Atlantic 10),32,15-17,295,9.22
262,Delaware (CAA),33,19-14,304,9.21
263,New Hampshire (America East),31,16-15,285,9.19
264,Oklahoma St. (Big 12),32,12-20,294,9.19
265,Providence (Big East),35,21-14,321,9.17
266,Manhattan (MAAC),30,7-23,275,9.17
267,George Washington (Atlantic 10),32,15-17,293,9.16
267,Missouri (SEC),32,8-24,293,9.16
267,West Virginia (Big 12),32,9-23,293,9.16
270,Wright St. (Horizon),32,18-14,290,9.06
271,Clemson (ACC),36,24-12,326,9.06
272,VCU (Atlantic 10),38,24-14,343,9.03
273,Southeast Mo. St. (OVC),31,9-22,279,9.00
274,American (Patriot),32,16-16,287,8.97
275,Detroit Mercy (Horizon),32,1-31,286,8.94
275,New Mexico St. (CUSA),32,13-19,286,8.94
277,Nevada (Mountain West),34,26-8,302,8.88
278,Indiana (Big Ten),33,19-14,293,8.88
279,North Florida (ASUN),32,16-16,284,8.88
280,Cal Poly (Big West),32,4-28,283,8.84
280,Green Bay (Horizon),32,18-14,283,8.84
282,Virginia (ACC),34,23-11,298,8.76
