Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
162,Minnesota (Big Ten),34,19-15,268,754,22.2
163,North Texas (AAC),34,19-15,284,753,22.1
164,Stony Brook (CAA),35,20-15,277,775,22.1
165,Northern Colo. (Big Sky),33,19-14,254,730,22.1
166,Baylor (Big 12),35,24-11,301,773,22.1
167,Harvard (Ivy League),27,14-13,200,596,22.1
168,Wagner (NEC),33,17-16,238,727,22
169,FGCU (ASUN),32,14-18,250,704,22
169,Monmouth (CAA),33,18-15,252,726,22
171,Duke (ACC),36,27-9,298,791,22
172,N.C. Central (MEAC),31,18-13,233,681,22
173,Austin Peay (ASUN),35,19-16,277,768,21.9
174,Seattle U (WAC),37,23-14,281,811,21.9
175,Gardner-Webb (Big South),33,17-16,249,722,21.9
176,Eastern Ky. (ASUN),31,17-14,243,678,21.9
177,Wake Forest (ACC),35,21-14,278,764,21.8
178,SIUE (OVC),33,17-16,239,720,21.8
179,Winthrop (Big South),32,17-15,238,697,21.8
180,LSU (SEC),33,17-16,256,717,21.7
180,Lamar University (Southland),33,19-14,248,717,21.7
182,Colorado St. (Mountain West),36,25-11,264,781,21.7
183,Old Dominion (Sun Belt),32,7-25,221,694,21.7
184,Colgate (Patriot),35,25-10,272,757,21.6
184,Howard (MEAC),35,18-17,281,757,21.6
186,Oklahoma (Big 12),32,20-12,239,692,21.6
186,South Alabama (Sun Belt),32,16-16,239,692,21.6
188,Oregon (Pac-12),36,24-12,263,778,21.6
189,Canisius (MAAC),32,14-18,232,690,21.6
190,Saint Mary's (CA) (WCC),34,26-8,258,733,21.6
191,Arizona (Pac-12),36,27-9,284,776,21.6
192,Massachusetts (Atlantic 10),31,20-11,209,668,21.5
193,Missouri St. (MVC),33,17-16,223,711,21.5
194,Montana (Big Sky),36,24-12,277,774,21.5
195,Southern California (Pac-12),33,15-18,252,709,21.5
196,Bowling Green (MAC),34,20-14,216,730,21.5
197,Loyola Maryland (Patriot),32,7-25,230,685,21.4
198,Southern U. (SWAC),32,18-14,221,684,21.4
199,Saint Louis (Atlantic 10),33,13-20,259,705,21.4
200,Holy Cross (Patriot),33,10-23,249,704,21.3
201,Quinnipiac (MAAC),34,24-10,254,723,21.3
202,North Ala. (ASUN),32,15-17,246,679,21.2
203,Southeastern La. (Southland),32,15-17,235,677,21.2
204,UCF (Big 12),33,17-16,225,698,21.2
205,Sam Houston (CUSA),33,21-12,245,697,21.1
206,East Carolina (AAC),33,15-18,218,696,21.1
206,Maryland (Big Ten),33,16-17,201,696,21.1
206,St. John's (NY) (Big East),33,20-13,237,696,21.1
209,Tulane (AAC),31,14-17,233,653,21.1
210,Campbell (CAA),32,14-18,232,673,21
210,VMI (SoCon),32,4-28,210,673,21
212,Northwestern (Big Ten),34,22-12,278,713,21
213,Charleston So. (Big South),30,10-20,208,629,21
214,Southern Utah (WAC),31,10-21,195,649,20.9
215,Fresno St. (Mountain West),33,12-21,229,690,20.9
215,UNI (MVC),33,19-14,238,690,20.9
217,N.C. A&T (CAA),32,7-25,192,669,20.9
217,South Dakota (Summit League),32,12-20,251,669,20.9
219,North Dakota St. (Summit League),32,15-17,252,667,20.8
219,West Virginia (Big 12),32,9-23,233,667,20.8
221,Grand Canyon (WAC),35,30-5,245,729,20.8
222,St. Bonaventure (Atlantic 10),33,20-13,251,687,20.8
222,Yale (Ivy League),33,23-10,241,687,20.8
224,Detroit Mercy (Horizon),32,1-31,187,666,20.8
225,Central Conn. St. (NEC),31,20-11,208,645,20.8
226,Illinois St. (MVC),32,15-17,194,665,20.8
227,UC Davis (Big West),33,20-13,230,684,20.7
228,Ball St. (MAC),31,15-16,232,641,20.7
229,Central Mich. (MAC),32,18-14,200,660,20.6
229,Ole Miss (SEC),32,20-12,241,660,20.6
231,Delaware (CAA),33,19-14,227,678,20.5
232,San Diego (WCC),33,18-15,233,677,20.5
233,Charlotte (AAC),31,19-12,201,635,20.5
234,Ohio St. (Big Ten),36,22-14,254,736,20.4
235,California Baptist (WAC),33,16-17,220,674,20.4
236,Wisconsin (Big Ten),36,22-14,256,734,20.4
237,Southeast Mo. St. (OVC),31,9-22,192,631,20.4
238,Murray St. (MVC),32,12-20,209,651,20.3
238,Syracuse (ACC),32,20-12,219,651,20.3
240,Texas (Big 12),34,21-13,245,691,20.3
241,Jackson St. (SWAC),32,15-17,211,650,20.3
241,Sacred Heart (NEC),32,16-16,237,650,20.3
243,Wyoming (Mountain West),32,15-17,241,648,20.3
244,Richmond (Atlantic 10),33,23-10,242,668,20.2
245,Tennessee St. (OVC),33,18-15,217,667,20.2
246,Purdue (Big Ten),39,34-5,318,788,20.2
247,Coastal Carolina (Sun Belt),31,9-22,201,626,20.2
248,Western Ky. (CUSA),34,22-12,233,686,20.2
249,NC State (ACC),41,26-15,285,827,20.2
250,UNLV (Mountain West),34,21-13,231,685,20.1
251,Evansville (MVC),35,17-18,237,705,20.1
252,Northwestern St. (Southland),32,9-23,204,643,20.1
252,Pacific (WCC),32,6-26,203,643,20.1
254,Northern Ariz. (Big Sky),33,14-19,207,663,20.1
255,Northeastern (CAA),32,12-20,204,642,20.1
256,Chicago St. (DI Independent),32,13-19,201,641,20
257,Xavier (Big East),34,16-18,232,678,19.9
258,George Mason (Atlantic 10),32,20-12,218,637,19.9
259,Northern Ky. (Horizon),33,18-15,209,656,19.9
260,Radford (Big South),33,16-17,238,655,19.8
261,App State (Sun Belt),34,27-7,224,674,19.8
262,Louisiana Tech (CUSA),32,22-10,229,633,19.8
263,New Mexico (Mountain West),36,26-10,233,711,19.8
264,McNeese (Southland),34,30-4,257,671,19.7
265,Jacksonville (ASUN),33,16-17,214,650,19.7
266,UMES (MEAC),29,9-20,168,570,19.7
267,Drexel (CAA),32,20-12,216,628,19.6
268,Tennessee Tech (OVC),31,10-21,202,608,19.6
269,Cal St. Fullerton (Big West),32,14-18,207,627,19.6
270,New Mexico St. (CUSA),32,13-19,206,626,19.6
271,Idaho St. (Big Sky),34,14-20,218,663,19.5
272,Navy (Patriot),31,13-18,181,603,19.5
273,Wichita St. (AAC),34,15-19,220,660,19.4
274,Towson (CAA),34,20-14,216,659,19.4
275,South Carolina St. (MEAC),32,14-18,200,620,19.4
276,Utah St. (Mountain West),35,28-7,226,678,19.4
277,Cleveland St. (Horizon),36,21-15,232,697,19.4
278,Gonzaga (WCC),35,27-8,243,674,19.3
279,Marist (MAAC),31,18-13,212,596,19.2
280,Mount St. Mary's (MAAC),32,13-19,217,615,19.2
281,Saint Francis (PA) (NEC),30,8-22,193,576,19.2
282,Southern Miss. (Sun Belt),32,16-16,201,614,19.2
283,Omaha (Summit League),33,15-18,206,631,19.1
284,Florida St. (ACC),33,17-16,200,630,19.1
285,Rutgers (Big Ten),32,15-17,175,610,19.1
286,Presbyterian (Big South),33,14-19,210,629,19.1
287,Iowa (Big Ten),34,19-15,226,644,18.9
288,Arkansas (SEC),33,16-17,199,625,18.9
289,Pepperdine (WCC),33,13-20,225,624,18.9
290,Eastern Mich. (MAC),31,13-18,178,585,18.9
291,Siena (MAAC),32,4-28,169,603,18.8
292,UAB (AAC),35,23-12,215,658,18.8
292,Washington St. (Pac-12),35,25-10,223,658,18.8
294,The Citadel (SoCon),32,11-21,197,600,18.8
295,Norfolk St. (MEAC),35,24-11,223,656,18.7
296,Rhode Island (Atlantic 10),32,12-20,209,599,18.7
297,Cal Poly (Big West),32,4-28,198,598,18.7
298,A&M-Corpus Christi (Southland),33,21-12,183,616,18.7
299,DePaul (Big East),32,3-29,200,597,18.7
299,Oregon St. (Pac-12),32,13-19,196,597,18.7
