Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
Baylor (Big 12),3,301,773,22.1,577,16.5,5,"1,229",35.11,579,791,73.2,399,11.4,8.6,24,11,68.6,"1,023",29.2,5.9,"2,489",71.1,9.3,830,23.71,414,11.83,514,421,1.22,38.9,967,"2,001",48.3,16.5,904,"1,987",45.5,708,238,33.6,"2,814",80.4,22.6
Belmont (MVC),,301,811,24.6,511,15.5,3,"1,130",34.24,425,588,72.3,237,7.18,9.1,20,13,60.6,"1,194",36.2,-1.9,"2,493",75.5,2.3,893,27.06,398,12.06,504,402,1.25,37.1,922,"1,939",47.6,12.9,914,"2,067",44.2,827,269,32.5,"2,570",77.9,17.8
Bethune-Cookman (SWAC),,199,620,18.2,696,20.5,18,"1,139",33.5,560,742,75.5,356,10.47,5.9,17,17,50.0,"1,213",35.7,-2.2,"2,467",72.6,0.4,783,23.03,562,16.53,414,471,0.88,32.1,860,"1,994",43.1,16.5,806,"1,869",43.1,669,225,33.6,"2,479",72.9,21.8
Binghamton (America East),,164,536,17.9,498,16.6,9,"1,156",38.53,397,595,66.7,313,10.43,5.5,15,15,50.0,999,33.3,5.2,"2,167",72.2,-0.1,843,28.1,281,9.37,435,366,1.19,30.6,801,"1,738",46.1,13.2,754,"1,790",42.1,691,233,33.7,"2,163",72.1,19.8
Boise St. (Mountain West),10,258,759,23.0,550,16.7,7,"1,231",37.3,505,686,73.6,384,11.64,7.8,22,11,66.7,984,29.8,7.5,"2,221",67.3,7.8,847,25.67,377,11.42,404,366,1.1,34.0,858,"1,913",44.9,15.3,796,"1,818",43.8,671,208,31.0,"2,479",75.1,20.8
Boston College (ACC),,299,826,22.9,566,15.7,9,"1,271",35.31,404,539,75.0,338,9.39,8.3,20,16,55.6,"1,235",34.3,1.0,"2,587",71.9,2.2,933,25.92,386,10.72,509,376,1.35,36.2,982,"2,155",45.6,11.2,932,"2,121",43.9,801,277,34.6,"2,667",74.1,15.0
Boston U. (Patriot),,254,763,23.1,571,17.3,9,"1,167",35.36,403,562,71.7,309,9.36,7.7,16,17,48.5,"1,099",33.3,2.1,"2,196",66.5,-0.1,858,26.0,376,11.39,427,384,1.11,33.3,768,"1,856",41.4,12.2,758,"1,777",42.7,718,247,34.4,"2,193",66.5,17.0
Bowling Green (MAC),,216,730,21.5,533,15.7,8,"1,292",38.0,522,730,71.5,386,11.35,6.4,20,14,58.8,"1,182",34.8,3.2,"2,414",71.0,2.6,906,26.65,405,11.91,383,392,0.98,29.6,882,"2,045",43.1,15.4,899,"2,028",44.3,700,254,36.3,"2,502",73.6,21.5
Bradley (MVC),,306,835,23.9,578,16.5,7,"1,214",34.69,400,550,72.7,324,9.26,8.7,23,12,65.7,"1,156",33.0,1.7,"2,348",67.1,7.0,890,25.43,438,12.51,463,423,1.09,36.6,943,"1,999",47.2,11.4,804,"1,955",41.1,749,245,32.7,"2,592",74.1,15.7
Brown (Ivy League),,254,745,24.0,519,16.7,13,"1,154",37.23,394,603,65.3,367,11.84,8.2,13,18,41.9,"1,073",34.6,2.6,"2,227",71.8,-0.5,787,25.39,369,11.9,417,385,1.08,34.1,782,"1,818",43.0,12.7,801,"1,797",44.6,687,226,32.9,"2,212",71.4,19.5
Bryant (America East),,273,806,24.4,557,16.9,24,"1,246",37.76,417,623,66.9,259,7.85,8.3,20,13,60.6,"1,401",42.5,-4.7,"2,488",75.4,3.3,987,29.91,416,12.61,487,393,1.24,33.9,954,"2,087",45.7,12.6,874,"2,204",39.7,773,242,31.3,"2,598",78.7,18.9
Bucknell (Patriot),,269,795,24.1,559,16.9,14,"1,073",32.52,368,514,71.6,276,8.36,8.2,14,19,42.4,"1,112",33.7,-1.2,"2,217",67.2,-1.9,797,24.15,353,10.7,399,405,0.99,33.8,758,"1,770",42.8,11.2,781,"1,831",42.7,772,250,32.4,"2,153",65.2,15.6
Buffalo (MAC),,207,746,24.1,484,15.6,6,"1,082",34.9,361,504,71.6,323,10.42,6.7,4,27,12.9,"1,140",36.8,-1.9,"2,471",79.7,-11.7,759,24.48,331,10.68,415,450,0.92,27.7,770,"1,830",42.1,11.6,913,"1,926",47.4,688,250,36.3,"2,108",68.0,16.3
Butler (Big East),,276,778,23.6,454,13.8,4,"1,162",35.21,424,536,79.1,308,9.33,8.4,18,15,54.5,"1,187",36.0,-0.8,"2,432",73.7,3.4,854,25.88,380,11.52,499,361,1.38,35.5,922,"2,036",45.3,12.8,921,"2,094",44.0,777,251,32.3,"2,544",77.1,16.2
