Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
308,Northern Illinois,-11.61,102.2,113.8,68.1,0.041,-0.15,106.5,106.6,7.34
309,Jackson St.,-11.66,100.6,112.3,68.5,0.095,-6.07,102.4,108.5,7.3
310,Alabama St.,-12.29,93.1,105.3,67.2,-0.009,-5.62,102,107.7,11.92
311,Campbell,-12.32,100.7,113,66.7,0.03,-5.11,104.2,109.3,-6.85
312,Northern Arizona,-12.41,99.1,111.5,68.3,0.095,-2.83,105.2,108,0.19
313,Coastal Carolina,-12.8,99.5,112.3,69.6,0.003,-2.43,105.1,107.5,-5.33
314,Sacramento St.,-13,98.2,111.2,64,-0.004,-2.15,106,108.1,2.62
315,Charleston Southern,-13.03,95.5,108.5,67,0.044,0.48,107.3,106.8,6.55
316,Bellarmine,-13.11,100.3,113.4,64.9,-0.058,-0.26,108.2,108.4,8.48
317,Elon,-13.31,101.8,115.1,67.5,0.05,-4.6,104.8,109.4,-2.32
318,Lafayette,-13.48,93.6,107.1,65.4,-0.028,-5.76,102.7,108.4,3.05
319,William & Mary,-13.56,100.7,114.3,65.9,-0.062,-4.65,104.2,108.9,-5.78
320,Eastern Illinois,-13.78,96.1,109.9,66.8,0.008,-6.44,101.6,108,3.92
321,Idaho,-13.99,98.3,112.3,65,-0.019,-3.95,104.8,108.7,-2.31
322,South Dakota,-14.01,103.1,117.1,68.8,0.01,-4.49,104.5,109,-4.49
323,Navy,-14.3,96.8,111.1,65.6,-0.02,-9.9,99.6,109.5,-5.76
324,Alabama A&M,-14.36,94.2,108.6,70.6,0.028,-5.91,102.6,108.5,4.77
325,Northwestern St.,-14.89,97.7,112.5,67.5,-0.093,-5.47,103.1,108.6,2.72
326,Eastern Michigan,-15.12,96.9,112.1,65.4,0.09,-5.21,103.5,108.7,-3.65
327,Fairleigh Dickinson,-15.31,98,113.3,72.2,0.086,-9.09,100.3,109.4,-4.66
328,Southern Indiana,-15.87,96,111.9,69.1,-0.082,-5.26,102.8,108.1,5.66
329,UT Rio Grande Valley,-16.03,95.6,111.6,71.3,-0.001,1.01,105.6,104.6,0.14
330,Prairie View A&M,-16.52,94.7,111.2,70.8,0.013,-5,102.8,107.8,8.61
331,Arkansas Pine Bluff,-16.69,102.2,118.9,71.9,0.044,-7.53,101,108.5,10.56
332,Tennessee Tech,-16.76,96.3,113.1,65.7,-0.039,-5.13,103.2,108.3,2.62
333,Texas A&M Commerce,-16.76,94.7,111.5,66.3,0.067,-4.22,104.4,108.7,10
334,Morgan St.,-16.8,97.4,114.2,70.9,0.009,-5.22,102.9,108.1,3.06
335,NJIT,-17.03,97.5,114.5,66.3,0.026,-2.75,103.4,106.1,-2.32
336,Dartmouth,-17.06,93.2,110.3,65.2,0.004,0.8,107.5,106.7,-0.86
337,Manhattan,-17.47,95.2,112.6,68.1,-0.016,-3.6,102.7,106.3,3.08
338,Florida A&M,-17.66,93.3,111,68.4,-0.04,-3.23,103.4,106.6,18.88
339,Cal Poly,-17.84,94.5,112.4,65.9,-0.009,-1.06,105.6,106.7,-1.55
340,Central Arkansas,-17.97,97.2,115.2,69.3,0.022,-4.82,105.1,109.9,-3.68
341,Hampton,-18.04,94.5,112.6,69.8,0,-4.09,105,109.1,-3.53
342,New Orleans,-18.33,97.8,116.2,71.6,-0.034,-4.24,103.5,107.7,7.28
343,LIU,-18.87,93.3,112.2,70.4,-0.001,-5.93,101.5,107.4,1.82
344,Army,-19,90.9,109.9,63.1,-0.052,-9.3,100.5,109.8,-5.48
345,Incarnate Word,-19.04,96.5,115.5,70,-0.009,-6.84,102.2,109,-3.16
346,North Carolina A&T,-19.43,96,115.4,67.8,0.045,-2.33,105,107.4,1.37
347,Maryland Eastern Shore,-19.69,89.8,109.5,67.2,0.003,-4.57,102.9,107.5,5.26
348,Buffalo,-19.7,95.4,115.1,69.2,-0.017,-2.32,105.1,107.4,0.9
349,Holy Cross,-19.72,100.7,120.4,65.9,0.017,-7.78,100.6,108.4,-3.54
350,Loyola MD,-20.27,93.3,113.6,65.8,-0.008,-6.52,102.1,108.6,0.56
351,Detroit Mercy,-20.52,96.9,117.5,66.9,-0.068,-0.36,107.2,107.6,5.91
352,Southeast Missouri St.,-21.33,91.3,112.7,69.2,0.016,-5.39,102.5,107.9,2.97
353,VMI,-22.07,89.2,111.2,74.7,-0.06,0.04,107.2,107.2,-3.14
354,Saint Francis,-22.26,94.4,116.7,65.5,0.021,-7.46,100.9,108.4,-0.45
355,Houston Christian,-22.42,96.6,119,71.5,-0.005,-3.11,104.6,107.7,11.7
356,Lindenwood,-22.52,91.7,114.2,67.2,0.024,-7.21,101.5,108.7,-1.84
357,Siena,-22.83,90.5,113.4,66.1,-0.011,-3.83,103.5,107.3,-0.56
358,Pacific,-22.84,95.3,118.1,68.4,-0.014,-0.13,106.2,106.4,-5.22
359,Stonehill,-22.93,91.9,114.8,67.7,-0.078,-5.1,102.1,107.2,4.1
360,IUPUI,-25.61,92.3,117.9,67.5,-0.019,-3.06,106.1,109.2,-4.33
361,Coppin St.,-25.73,85.7,111.4,66.2,-0.057,-5.12,102.9,108,0.66
362,Mississippi Valley St.,-30.83,85.5,116.3,64.7,-0.06,-2.12,104.4,106.5,15.26
,,,,,,,,,,
