Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
Boston College (ACC),,785,23.79,-3.6,413.0,405.0,1.02,"2,197",66.6,833,"1,882",44.3,16.0,17.0,48.5,371.0,512.0,72.5,15.5,521.0,15.8,12.0,406.0,12.3,744.0,274.0,36.8,188.0,590,17.9,"2,317",70.2,819,"1,873",43.7,"1,122",34.0,-0.9,308.0,9.33,31.9,5.7,"1,093",33.12,11.2
Boston U. (Patriot),,808,25.25,-0.1,335.0,384.0,0.87,"2,147",67.1,749,"1,725",43.4,15.0,17.0,46.9,387.0,524.0,73.9,16.4,561.0,17.5,6.0,397.0,12.41,676.0,227.0,33.6,238.0,722,22.6,"2,151",67.2,761,"1,845",41.2,"1,077",33.7,1.8,328.0,10.25,33.0,7.4,"1,136",35.5,12.1
Bowling Green (MAC),,783,25.26,-2.5,428.0,378.0,1.13,"2,355",76.0,866,"1,857",46.6,11.0,20.0,35.5,451.0,622.0,72.5,20.1,550.0,17.7,5.0,357.0,11.52,708.0,253.0,35.7,224.0,658,21.2,"2,434",78.5,840,"1,859",45.2,"1,074",34.6,1.1,326.0,10.52,34.0,7.2,"1,109",35.77,14.5
Bradley (MVC),,899,25.69,7.9,465.0,409.0,1.14,"2,473",70.7,760,"1,875",40.5,25.0,10.0,71.4,363.0,546.0,66.5,15.6,565.0,16.1,7.0,442.0,12.63,725.0,231.0,31.9,276.0,777,22.2,"2,195",62.7,917,"1,989",46.1,"1,107",31.6,3.8,341.0,9.74,35.5,7.9,"1,240",35.43,10.4
Brown (Ivy League),,701,25.96,0.2,372.0,361.0,1.03,"1,878",69.6,689,"1,541",44.7,14.0,13.0,51.9,298.0,464.0,64.2,17.2,438.0,16.2,7.0,374.0,13.85,571.0,200.0,35.0,216.0,622,23.0,"1,872",69.3,682,"1,557",43.8,929,34.4,0.5,241.0,8.93,34.7,8.0,942,34.89,11.0
Bryant (America East),,861,28.7,6.3,403.0,402.0,1.0,"2,381",79.4,778,"1,849",42.1,17.0,13.0,56.7,442.0,602.0,73.4,20.1,518.0,17.3,17.0,372.0,12.4,719.0,237.0,33.0,243.0,714,23.8,"2,193",73.1,848,"1,821",46.6,"1,021",34.0,5.3,318.0,10.6,34.0,8.1,"1,179",39.3,14.7
Bucknell (Patriot),,824,25.75,-1.0,429.0,427.0,1.0,"2,161",67.5,815,"1,846",44.1,12.0,20.0,37.5,332.0,463.0,71.7,14.5,498.0,15.6,3.0,332.0,10.38,666.0,237.0,35.6,235.0,660,20.6,"2,192",68.5,797,"1,749",45.6,"1,020",31.9,2.0,260.0,8.13,35.6,7.3,"1,084",33.88,10.4
Buffalo (MAC),,831,25.97,-0.1,470.0,452.0,1.04,"2,481",77.5,881,"1,942",45.4,15.0,17.0,46.9,445.0,632.0,70.4,19.8,602.0,18.8,17.0,447.0,13.97,696.0,244.0,35.1,224.0,696,21.8,"2,485",77.7,906,"2,000",45.3,"1,125",35.2,2.6,377.0,11.78,32.2,7.0,"1,208",37.75,13.9
Butler (Big East),,751,23.47,-2.7,403.0,378.0,1.07,"2,088",65.3,838,"1,874",44.7,14.0,18.0,43.8,339.0,459.0,73.9,14.3,429.0,13.4,5.0,400.0,12.5,623.0,200.0,32.1,207.0,633,19.8,"2,174",67.9,771,"1,767",43.6,"1,161",36.3,-6.3,207.0,6.47,32.7,6.5,958,29.94,10.6
CSU Bakersfield (Big West),,744,22.55,-4.2,355.0,424.0,0.84,"1,995",60.5,700,"1,639",42.7,11.0,22.0,33.3,389.0,512.0,76.0,15.5,621.0,18.8,16.0,445.0,13.48,695.0,238.0,34.2,142.0,437,13.2,"2,134",64.7,732,"1,770",41.4,"1,067",32.3,-0.4,311.0,9.42,32.5,4.3,"1,055",31.97,11.8
CSUN (Big West),,753,23.53,-5.2,314.0,400.0,0.79,"2,028",63.4,737,"1,729",42.6,7.0,25.0,21.9,454.0,612.0,74.2,19.1,605.0,18.9,8.0,383.0,11.97,656.0,221.0,33.7,184.0,575,18.0,"2,194",68.6,695,"1,735",40.1,"1,126",35.2,-1.9,313.0,9.78,32.0,5.8,"1,066",33.31,14.2
Cal Poly (Big West),,799,24.21,-5.1,341.0,457.0,0.75,"2,006",60.8,732,"1,689",43.3,8.0,25.0,24.2,395.0,531.0,74.4,16.1,653.0,19.8,20.0,408.0,12.36,610.0,208.0,34.1,181.0,615,18.6,"2,174",65.9,715,"1,733",41.3,"1,069",32.4,0.3,281.0,8.52,29.4,5.5,"1,080",32.73,12.0
Cal St. Fullerton (Big West),,805,24.39,4.1,340.0,391.0,0.87,"2,283",69.2,754,"1,812",41.6,20.0,13.0,60.6,472.0,681.0,69.3,20.6,590.0,17.9,16.0,466.0,14.12,705.0,220.0,31.2,253.0,686,20.8,"2,148",65.1,779,"1,812",43.0,"1,153",34.9,-1.4,303.0,9.18,36.9,7.7,"1,108",33.58,14.3
California (Pac-12),,729,22.78,-11.8,308.0,417.0,0.74,"1,866",58.3,801,"1,772",45.2,3.0,29.0,9.4,386.0,534.0,72.3,16.7,548.0,17.1,11.0,332.0,10.38,679.0,227.0,33.4,156.0,524,16.4,"2,243",70.1,662,"1,694",39.1,"1,137",35.5,-4.1,278.0,8.69,29.8,4.9,"1,007",31.47,12.1
California Baptist (WAC),,865,26.21,4.1,471.0,379.0,1.24,"2,291",69.4,790,"1,863",42.4,17.0,16.0,51.5,393.0,592.0,66.4,17.9,569.0,17.2,3.0,358.0,10.85,610.0,185.0,30.3,276.0,837,25.4,"2,156",65.3,811,"1,898",42.7,"1,118",33.9,3.3,362.0,10.97,33.0,8.4,"1,227",37.18,11.9
