Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
Kentucky (SEC),6,867,25.5,6.7,512.0,400.0,1.28,"2,532",74.5,827,"1,929",42.9,22.0,12.0,64.7,461.0,653.0,70.6,19.2,545.0,16.0,10.0,379.0,11.15,685.0,222.0,32.4,213.0,613,18.0,"2,305",67.8,929,"2,045",45.4,"1,022",30.1,9.3,472.0,13.88,34.7,6.3,"1,339",39.38,13.6
LIU (NEC),,730,25.17,-13.2,420.0,475.0,0.88,"1,935",66.7,854,"1,795",47.6,3.0,26.0,10.3,353.0,535.0,66.0,18.4,511.0,17.6,17.0,371.0,12.79,631.0,228.0,36.1,142.0,420,14.5,"2,319",80.0,720,"1,683",42.8,"1,086",37.4,-2.8,275.0,9.48,33.8,4.9,"1,005",34.66,12.2
LMU (CA) (WCC),,791,25.52,2.3,366.0,397.0,0.92,"2,335",75.3,809,"1,773",45.6,19.0,12.0,61.3,382.0,569.0,67.1,18.4,602.0,19.4,11.0,354.0,11.42,601.0,202.0,33.6,289.0,792,25.5,"2,265",73.1,832,"1,831",45.4,983,31.7,4.4,328.0,10.58,36.5,9.3,"1,119",36.1,12.3
LSU (SEC),,780,23.64,-3.1,406.0,405.0,1.0,"2,231",67.6,831,"1,859",44.7,14.0,19.0,42.4,456.0,632.0,72.2,19.2,560.0,17.0,6.0,384.0,11.64,773.0,265.0,34.3,239.0,730,22.1,"2,334",70.7,768,"1,875",41.0,"1,125",34.1,0.9,376.0,11.39,32.7,7.2,"1,156",35.03,13.8
La Salle (Atlantic 10),,833,24.5,-2.8,408.0,427.0,0.96,"2,374",69.8,898,"1,996",45.0,15.0,19.0,44.1,400.0,577.0,69.3,17.0,606.0,17.8,10.0,422.0,12.41,696.0,240.0,34.5,248.0,726,21.4,"2,468",72.6,863,"2,037",42.4,"1,239",36.4,-0.6,384.0,11.29,34.2,7.3,"1,217",35.79,11.8
Lafayette (Patriot),,822,24.18,-3.3,528.0,396.0,1.33,"2,120",62.4,800,"1,826",43.8,11.0,23.0,32.4,288.0,460.0,62.6,13.5,523.0,15.4,3.0,403.0,11.85,753.0,257.0,34.1,298.0,911,26.8,"2,232",65.6,767,"1,881",40.8,"1,194",35.1,-2.6,284.0,8.35,32.7,8.8,"1,106",32.53,8.5
Lamar University (Southland),,755,24.35,-6.7,409.0,441.0,0.93,"2,104",67.9,827,"1,852",44.7,9.0,22.0,29.0,404.0,574.0,70.4,18.5,488.0,15.7,10.0,382.0,12.32,819.0,279.0,34.1,178.0,556,17.9,"2,311",74.5,761,"1,767",43.1,"1,110",35.8,0.3,364.0,11.74,32.0,5.7,"1,119",36.1,13.0
Lehigh (Patriot),,803,26.77,0.4,370.0,353.0,1.05,"2,094",69.8,769,"1,778",43.3,16.0,14.0,53.3,385.0,516.0,74.6,17.2,501.0,16.7,3.0,353.0,11.77,620.0,200.0,32.3,205.0,584,19.5,"2,082",69.4,752,"1,698",44.3,"1,084",36.1,-2.6,203.0,6.77,35.1,6.8,"1,006",33.53,12.8
Liberty (ASUN),,923,25.64,13.8,580.0,373.0,1.55,"2,689",74.7,792,"1,891",41.9,27.0,9.0,75.0,387.0,532.0,72.7,14.8,540.0,15.0,5.0,468.0,13.0,689.0,230.0,33.4,376.0,"1,007",28.0,"2,194",60.9,963,"2,032",47.4,"1,089",30.3,3.6,296.0,8.22,37.3,10.4,"1,219",33.86,10.8
Lipscomb (ASUN),,909,27.55,5.4,466.0,399.0,1.17,"2,521",76.4,866,"2,024",42.8,20.0,13.0,60.6,369.0,496.0,74.4,15.0,460.0,13.9,2.0,383.0,11.61,794.0,265.0,33.4,266.0,748,22.7,"2,343",71.0,943,"1,983",47.6,"1,094",33.2,3.2,289.0,8.76,35.6,8.1,"1,198",36.3,11.2
Little Rock (OVC),,768,24.77,-4.0,460.0,418.0,1.1,"2,337",75.4,870,"1,829",47.6,10.0,21.0,32.3,462.0,632.0,73.1,20.4,609.0,19.6,27.0,441.0,14.23,689.0,270.0,39.2,185.0,567,18.3,"2,461",79.4,845,"1,907",44.3,"1,124",36.3,-0.5,339.0,10.94,32.6,6.0,"1,107",35.71,14.9
Long Beach St. (Big West),,912,27.64,2.1,494.0,466.0,1.06,"2,524",76.5,867,"2,056",42.2,17.0,16.0,51.5,480.0,708.0,67.8,21.5,563.0,17.1,14.0,463.0,14.03,820.0,276.0,33.7,146.0,494,15.0,"2,455",74.4,949,"2,086",45.5,"1,148",34.8,5.8,429.0,13.0,29.6,4.4,"1,341",40.64,14.5
Longwood (Big South),,754,23.56,6.9,398.0,380.0,1.05,"2,341",73.2,737,"1,693",43.5,20.0,12.0,62.5,438.0,607.0,72.2,19.0,531.0,16.6,8.0,462.0,14.44,722.0,251.0,34.8,241.0,685,21.4,"2,119",66.2,831,"1,837",45.2,"1,009",31.5,3.2,357.0,11.16,35.2,7.5,"1,111",34.72,13.7
Louisiana (Sun Belt),13,864,25.41,7.9,489.0,415.0,1.18,"2,630",77.4,859,"1,944",44.2,26.0,8.0,76.5,491.0,720.0,68.2,21.2,577.0,17.0,9.0,428.0,12.59,592.0,199.0,33.6,239.0,635,18.7,"2,362",69.5,950,"1,972",48.2,"1,035",30.4,6.1,377.0,11.09,37.6,7.0,"1,241",36.5,14.4
Louisiana Tech (CUSA),,786,23.82,1.9,408.0,451.0,0.9,"2,383",72.2,789,"1,771",44.6,15.0,18.0,45.5,394.0,546.0,72.2,16.5,570.0,17.3,15.0,502.0,15.21,752.0,279.0,37.1,281.0,814,24.7,"2,320",70.3,854,"1,930",44.2,"1,077",32.6,2.1,359.0,10.88,34.5,8.5,"1,145",34.7,11.9
Louisville (ACC),,737,23.03,-11.8,299.0,478.0,0.63,"2,046",63.9,877,"1,862",47.1,4.0,28.0,12.5,414.0,559.0,74.1,17.5,527.0,16.5,8.0,325.0,10.16,739.0,260.0,35.2,200.0,608,19.0,"2,425",75.8,716,"1,700",42.1,"1,064",33.3,-1.0,294.0,9.19,32.9,6.3,"1,031",32.22,12.9
Loyola Chicago (Atlantic 10),,727,23.45,-5.1,428.0,464.0,0.92,"2,089",67.4,769,"1,705",45.1,10.0,21.0,32.3,355.0,509.0,69.7,16.4,601.0,19.4,21.0,376.0,12.13,649.0,223.0,34.4,220.0,658,21.2,"2,247",72.5,757,"1,638",46.2,"1,007",32.5,-1.5,233.0,7.52,33.4,7.1,960,30.97,11.5
Loyola Maryland (Patriot),,734,22.24,-3.3,459.0,446.0,1.03,"2,222",67.3,862,"1,804",47.8,13.0,20.0,39.4,328.0,509.0,64.4,15.4,517.0,15.7,3.0,452.0,13.7,658.0,239.0,36.3,250.0,701,21.2,"2,331",70.6,822,"1,821",45.1,"1,082",32.8,-1.4,301.0,9.12,35.7,7.6,"1,035",31.36,9.9
Maine (America East),,692,23.07,-1.2,415.0,371.0,1.12,"2,054",68.5,773,"1,671",46.3,13.0,17.0,43.3,288.0,396.0,72.7,13.2,446.0,14.9,4.0,418.0,13.93,612.0,210.0,34.3,198.0,595,19.8,"2,091",69.7,784,"1,711",45.8,"1,029",34.3,-3.5,232.0,7.73,33.3,6.6,924,30.8,9.6
Manhattan (MAAC),,678,22.6,-3.2,370.0,406.0,0.91,"2,014",67.1,759,"1,723",44.1,12.0,18.0,40.0,343.0,520.0,66.0,17.3,492.0,16.4,11.0,426.0,14.2,628.0,228.0,36.3,205.0,616,20.5,"2,110",70.3,733,"1,682",43.6,"1,085",36.2,-4.4,274.0,9.13,33.3,6.8,952,31.73,11.4
Marist (MAAC),,837,25.36,-2.7,357.0,392.0,0.91,"2,110",63.9,782,"1,893",41.3,13.0,20.0,39.4,367.0,526.0,69.8,15.9,509.0,15.4,4.0,365.0,11.06,711.0,249.0,35.0,253.0,771,23.4,"2,199",66.6,745,"1,819",41.0,"1,184",35.9,-1.6,294.0,8.91,32.8,7.7,"1,131",34.27,11.1
Marquette (Big East),2,829,23.03,9.1,624.0,386.0,1.62,"2,856",79.3,919,"2,067",44.5,29.0,7.0,80.6,422.0,588.0,71.8,16.3,582.0,16.2,10.0,570.0,15.83,776.0,269.0,34.7,322.0,912,25.3,"2,530",70.3,"1,056","2,174",48.6,"1,276",35.4,-3.6,317.0,8.81,35.3,8.9,"1,146",31.83,11.7
Marshall (Sun Belt),,852,26.63,10.5,561.0,372.0,1.51,"2,616",81.8,852,"2,016",42.3,24.0,8.0,75.0,380.0,548.0,69.3,17.1,526.0,16.4,13.0,478.0,14.94,693.0,222.0,32.0,264.0,781,24.4,"2,281",71.3,986,"2,120",46.5,"1,233",38.5,0.4,395.0,12.34,33.8,8.3,"1,247",38.97,11.9
Maryland (Big Ten),8,833,23.8,6.2,398.0,373.0,1.07,"2,440",69.7,814,"1,912",42.6,22.0,13.0,62.9,483.0,660.0,73.2,18.9,560.0,16.0,8.0,417.0,11.91,610.0,197.0,32.3,233.0,710,20.3,"2,222",63.5,862,"1,925",44.8,"1,124",32.1,1.5,342.0,9.77,32.8,6.7,"1,175",33.57,13.8
Massachusetts (Atlantic 10),,783,25.26,-1.6,423.0,443.0,0.95,"2,163",69.8,779,"1,794",43.4,15.0,16.0,48.4,431.0,602.0,71.6,19.4,541.0,17.5,9.0,421.0,13.58,731.0,242.0,33.1,182.0,555,17.9,"2,214",71.4,775,"1,868",41.5,"1,071",34.5,3.7,404.0,13.03,32.8,5.9,"1,187",38.29,13.9
McNeese (Southland),,776,22.82,-6.3,385.0,499.0,0.77,"2,352",69.2,902,"1,920",47.0,11.0,23.0,32.4,378.0,571.0,66.2,16.8,655.0,19.3,15.0,443.0,13.03,747.0,290.0,38.8,258.0,793,23.3,"2,565",75.4,858,"1,991",43.1,"1,169",34.4,0.9,422.0,12.41,32.5,7.6,"1,198",35.24,11.1
Memphis (AAC),8,892,25.49,7.6,546.0,467.0,1.17,"2,778",79.4,848,"2,114",40.1,26.0,9.0,74.3,555.0,743.0,74.7,21.2,637.0,18.2,18.0,531.0,15.17,907.0,279.0,30.8,215.0,609,17.4,"2,512",71.8,"1,004","2,096",47.9,"1,234",35.3,0.6,364.0,10.4,35.3,6.1,"1,256",35.89,15.9
Mercer (SoCon),,802,24.3,1.7,422.0,385.0,1.1,"2,268",68.7,774,"1,798",43.0,14.0,19.0,42.4,370.0,536.0,69.0,16.2,592.0,17.9,11.0,391.0,11.85,609.0,201.0,33.0,196.0,586,17.8,"2,211",67.0,851,"1,885",45.1,"1,065",32.3,2.4,342.0,10.36,33.4,5.9,"1,144",34.67,11.2
Miami FL (ACC),5,901,24.35,7.1,535.0,411.0,1.3,"2,925",79.1,991,"2,214",44.8,29.0,8.0,78.4,531.0,677.0,78.4,18.3,527.0,14.2,5.0,463.0,12.51,852.0,285.0,33.5,278.0,755,20.4,"2,661",71.9,"1,058","2,205",48.0,"1,188",32.1,2.6,384.0,10.38,36.8,7.5,"1,285",34.73,14.4
Miami (OH) (MAC),,735,22.97,-0.9,440.0,436.0,1.01,"2,357",73.7,840,"1,819",46.2,12.0,20.0,37.5,447.0,568.0,78.7,17.8,583.0,18.2,16.0,426.0,13.31,664.0,229.0,34.5,250.0,736,23.0,"2,385",74.5,830,"1,817",45.7,"1,086",33.9,-2.0,287.0,8.97,34.0,7.8,"1,022",31.94,14.0
Michigan (Big Ten),,948,27.88,3.7,414.0,356.0,1.16,"2,494",73.4,885,"2,081",42.5,18.0,16.0,52.9,437.0,615.0,71.1,18.1,527.0,15.5,9.0,338.0,9.94,703.0,223.0,31.7,261.0,744,21.9,"2,367",69.6,898,"1,994",45.0,"1,200",35.3,1.4,300.0,8.82,35.1,7.7,"1,248",36.71,12.9
Michigan St. (Big Ten),7,906,26.65,3.0,497.0,370.0,1.34,"2,411",70.9,834,"1,968",42.4,21.0,13.0,61.8,401.0,528.0,75.9,15.5,557.0,16.4,4.0,333.0,9.79,757.0,245.0,32.4,252.0,642,18.9,"2,309",67.9,879,"1,944",45.2,"1,110",32.6,3.0,307.0,9.03,39.3,7.4,"1,213",35.68,11.8
Middle Tenn. (CUSA),,743,22.52,2.3,357.0,439.0,0.81,"2,313",70.1,789,"1,762",44.8,19.0,14.0,57.6,371.0,543.0,68.3,16.5,579.0,17.5,10.0,492.0,14.91,600.0,213.0,35.5,228.0,674,20.4,"2,236",67.8,857,"1,892",45.3,"1,047",31.7,1.9,366.0,11.09,33.8,6.9,"1,109",33.61,11.2
Milwaukee (Horizon),,925,27.21,4.0,472.0,515.0,0.92,"2,659",78.2,893,"2,187",40.8,22.0,12.0,64.7,504.0,681.0,74.0,20.0,610.0,17.9,6.0,465.0,13.68,912.0,280.0,30.7,267.0,774,22.8,"2,522",74.2,944,"2,062",45.8,"1,237",36.4,2.7,405.0,11.91,34.5,7.9,"1,330",39.12,14.8
Minnesota (Big Ten),,755,24.35,-8.2,454.0,401.0,1.13,"1,949",62.9,834,"1,856",44.9,9.0,22.0,29.0,317.0,512.0,61.9,16.5,482.0,15.5,8.0,302.0,9.74,580.0,208.0,35.9,192.0,591,19.1,"2,202",71.0,720,"1,664",43.3,"1,122",36.2,-3.4,262.0,8.45,32.5,6.2,"1,017",32.81,10.2
Mississippi St. (SEC),11,848,24.94,4.7,482.0,434.0,1.11,"2,234",65.7,728,"1,849",39.4,21.0,13.0,61.8,424.0,655.0,64.7,19.3,517.0,15.2,6.0,486.0,14.29,809.0,252.0,31.1,178.0,669,19.7,"2,073",61.0,816,"1,936",42.1,"1,138",33.5,4.4,440.0,12.94,26.6,5.2,"1,288",37.88,12.5
Mississippi Val. (SWAC),,711,22.22,-13.7,321.0,518.0,0.62,"1,953",61.0,826,"1,788",46.2,5.0,27.0,15.6,425.0,639.0,66.5,20.0,573.0,17.9,12.0,430.0,13.44,706.0,253.0,35.8,162.0,464,14.5,"2,392",74.8,683,"1,681",40.6,"1,129",35.3,-3.2,316.0,9.88,34.9,5.1,"1,027",32.09,13.3
Missouri (SEC),7,748,21.37,4.5,559.0,390.0,1.43,"2,762",78.9,891,"1,998",44.6,25.0,10.0,71.4,461.0,608.0,75.8,17.4,631.0,18.0,7.0,592.0,16.91,884.0,309.0,35.0,325.0,904,25.8,"2,604",74.4,988,"2,092",47.2,"1,310",37.4,-7.2,310.0,8.86,36.0,9.3,"1,058",30.23,13.2
Missouri St. (MVC),,761,23.78,2.4,374.0,393.0,0.95,"2,098",65.6,722,"1,701",42.4,17.0,15.0,53.1,300.0,479.0,62.6,15.0,497.0,15.5,8.0,380.0,11.88,660.0,214.0,32.4,254.0,767,24.0,"2,021",63.2,772,"1,776",43.5,997,31.2,4.0,363.0,11.34,33.1,7.9,"1,124",35.13,9.4
Monmouth (CAA),,723,21.91,-13.0,395.0,476.0,0.83,"2,036",61.7,828,"1,804",45.9,7.0,26.0,21.2,410.0,615.0,66.7,18.6,635.0,19.2,12.0,474.0,14.36,829.0,307.0,37.0,134.0,466,14.1,"2,466",74.7,746,"1,856",40.2,"1,196",36.2,-3.3,365.0,11.06,28.8,4.1,"1,088",32.97,12.4
Montana (Big Sky),,713,23.0,1.1,378.0,347.0,1.09,"2,147",69.3,733,"1,626",45.1,17.0,14.0,54.8,379.0,481.0,78.8,15.5,560.0,18.1,9.0,320.0,10.32,575.0,185.0,32.2,244.0,656,21.2,"2,114",68.2,762,"1,650",46.2,940,30.3,0.1,229.0,7.39,37.2,7.9,942,30.39,12.2
Montana St. (Big Sky),14,863,24.66,7.0,438.0,415.0,1.06,"2,588",73.9,815,"1,885",43.2,25.0,10.0,71.4,614.0,814.0,75.4,23.3,641.0,18.3,9.0,479.0,13.69,654.0,222.0,33.9,216.0,642,18.3,"2,342",66.9,879,"1,876",46.9,"1,074",30.7,2.3,291.0,8.31,33.6,6.2,"1,154",32.97,17.5
Morehead St. (OVC),,887,26.09,3.2,467.0,403.0,1.16,"2,374",69.8,846,"1,932",43.8,22.0,12.0,64.7,474.0,654.0,72.5,19.2,532.0,15.6,9.0,381.0,11.21,618.0,194.0,31.4,254.0,730,21.5,"2,266",66.6,823,"1,889",43.6,"1,098",32.3,3.4,325.0,9.56,34.8,7.5,"1,212",35.65,13.9
Morgan St. (MEAC),,712,22.97,2.6,479.0,500.0,0.96,"2,323",74.9,789,"1,794",44.0,15.0,16.0,48.4,391.0,568.0,68.8,18.3,647.0,20.9,22.0,586.0,18.9,602.0,186.0,30.9,206.0,559,18.0,"2,242",72.3,863,"1,911",45.2,"1,182",38.1,-3.5,362.0,11.68,36.9,6.6,"1,074",34.65,12.6
Mount St. Mary's (MAAC),,802,24.3,-3.4,410.0,450.0,0.91,"2,101",63.7,797,"1,880",42.4,13.0,20.0,39.4,339.0,463.0,73.2,14.0,540.0,16.4,13.0,392.0,11.88,678.0,226.0,33.3,220.0,622,18.8,"2,212",67.0,771,"1,818",42.4,"1,136",34.4,-0.8,308.0,9.33,35.4,6.7,"1,110",33.64,10.3
Murray St. (MVC),,810,25.31,-1.6,391.0,349.0,1.12,"2,254",70.4,854,"1,909",44.7,17.0,15.0,53.1,447.0,607.0,73.6,19.0,467.0,14.6,2.0,347.0,10.84,794.0,265.0,33.4,197.0,593,18.5,"2,305",72.0,805,"1,824",44.1,"1,093",34.2,0.6,301.0,9.41,33.2,6.2,"1,111",34.72,14.0
N.C. A&T (CAA),,836,26.13,-3.1,375.0,385.0,0.97,"2,264",70.8,853,"1,965",43.4,13.0,19.0,40.6,391.0,574.0,68.1,17.9,547.0,17.1,6.0,393.0,12.28,734.0,243.0,33.1,261.0,785,24.5,"2,362",73.8,806,"1,931",41.7,"1,258",39.3,-3.8,300.0,9.38,33.2,8.2,"1,136",35.5,12.2
N.C. Central (MEAC),,745,24.83,9.7,439.0,459.0,0.96,"2,268",75.6,704,"1,657",42.5,18.0,12.0,60.0,417.0,594.0,70.2,19.8,575.0,19.2,14.0,503.0,16.77,609.0,185.0,30.4,221.0,614,20.5,"1,977",65.9,815,"1,737",46.9,966,32.2,3.6,328.0,10.93,36.0,7.4,"1,073",35.77,13.9
NC State (ACC),11,859,25.26,6.9,434.0,320.0,1.36,"2,643",77.7,859,"1,931",44.5,23.0,11.0,67.6,398.0,551.0,72.2,16.2,592.0,17.4,13.0,449.0,13.21,648.0,205.0,31.6,281.0,810,23.8,"2,408",70.8,982,"2,181",45.0,"1,185",34.9,1.7,385.0,11.32,34.7,8.3,"1,244",36.59,11.7
NIU (MAC),,781,24.41,-3.0,402.0,458.0,0.88,"2,304",72.0,852,"1,895",45.0,13.0,19.0,40.6,394.0,604.0,65.2,18.9,617.0,19.3,24.0,433.0,13.53,698.0,229.0,32.8,236.0,678,21.2,"2,401",75.0,837,"1,816",46.1,"1,203",37.6,-4.5,279.0,8.72,34.8,7.4,"1,060",33.13,12.3
NJIT (America East),,761,25.37,-5.8,336.0,334.0,1.01,"2,008",66.9,808,"1,789",45.2,7.0,23.0,23.3,324.0,488.0,66.4,16.3,471.0,15.7,9.0,303.0,10.1,691.0,232.0,33.6,196.0,562,18.7,"2,182",72.7,744,"1,734",42.9,"1,118",37.3,-3.2,261.0,8.7,34.9,6.5,"1,022",34.07,10.8
Navy (Patriot),,758,24.45,4.5,459.0,355.0,1.29,"2,152",69.4,733,"1,684",43.5,18.0,13.0,58.1,296.0,419.0,70.6,13.5,494.0,15.9,5.0,402.0,12.97,651.0,222.0,34.1,240.0,647,20.9,"2,013",64.9,808,"1,781",45.4,"1,010",32.6,1.9,310.0,10.0,37.1,7.7,"1,068",34.45,9.5
Nebraska (Big Ten),,841,26.28,-1.9,418.0,406.0,1.03,"2,175",68.0,826,"1,943",42.5,16.0,16.0,50.0,323.0,504.0,64.1,15.8,452.0,14.1,3.0,386.0,12.06,848.0,289.0,34.1,214.0,657,20.5,"2,236",69.9,819,"1,790",45.8,"1,137",35.5,-1.0,264.0,8.25,32.6,6.7,"1,105",34.53,10.1
Nevada (Mountain West),11,856,25.94,4.8,474.0,339.0,1.4,"2,397",72.6,781,"1,836",42.5,22.0,11.0,66.7,561.0,708.0,79.2,21.5,592.0,17.9,12.0,413.0,12.52,779.0,255.0,32.7,238.0,678,20.5,"2,238",67.8,799,"1,794",44.5,"1,107",33.5,-0.2,245.0,7.42,35.1,7.2,"1,101",33.36,17.0
New Hampshire (America East),,764,25.47,-0.6,350.0,297.0,1.18,"1,992",66.4,741,"1,701",43.6,15.0,15.0,50.0,352.0,508.0,69.3,16.9,452.0,15.1,6.0,329.0,10.97,566.0,176.0,31.1,248.0,725,24.2,"2,011",67.0,696,"1,749",39.8,"1,105",36.8,-1.1,307.0,10.23,34.2,8.3,"1,071",35.7,11.7
New Mexico (Mountain West),,928,27.29,6.6,466.0,382.0,1.22,"2,749",80.9,916,"2,100",43.6,22.0,12.0,64.7,591.0,800.0,73.9,23.5,574.0,16.9,5.0,433.0,12.74,810.0,271.0,33.5,192.0,545,16.0,"2,525",74.3,983,"2,043",48.1,"1,193",35.1,2.0,332.0,9.76,35.2,5.6,"1,260",37.06,17.4
New Mexico St. (WAC),,606,25.25,2.0,291.0,305.0,0.95,"1,769",73.7,584,"1,369",42.7,9.0,15.0,37.5,326.0,479.0,68.1,20.0,453.0,18.9,10.0,333.0,13.88,618.0,213.0,34.5,181.0,534,22.3,"1,720",71.7,631,"1,426",44.2,806,33.6,1.9,246.0,10.25,33.9,7.5,852,35.5,13.6
New Orleans (Southland),,723,22.59,-6.1,466.0,547.0,0.85,"2,340",73.1,881,"1,858",47.4,12.0,20.0,37.5,478.0,674.0,70.9,21.1,619.0,19.3,14.0,486.0,15.19,677.0,245.0,36.2,196.0,519,16.2,"2,536",79.3,833,"1,785",46.7,"1,086",33.9,-1.7,309.0,9.66,37.8,6.1,"1,032",32.25,14.9
Niagara (MAAC),,694,22.39,-0.9,339.0,365.0,0.93,"2,016",65.0,731,"1,664",43.9,16.0,15.0,51.6,348.0,481.0,72.3,15.5,499.0,16.1,7.0,336.0,10.84,509.0,182.0,35.8,196.0,570,18.4,"2,044",65.9,736,"1,642",44.8,949,30.6,-0.2,250.0,8.06,34.4,6.3,944,30.45,11.2
Nicholls (Southland),,718,23.16,2.9,431.0,420.0,1.03,"2,344",75.6,743,"1,670",44.5,16.0,15.0,51.6,342.0,530.0,64.5,17.1,639.0,20.6,21.0,549.0,17.71,644.0,218.0,33.9,238.0,698,22.5,"2,253",72.7,882,"1,935",45.6,"1,114",35.9,-1.3,357.0,11.52,34.1,7.7,"1,075",34.68,11.0
Norfolk St. (MEAC),,823,24.94,7.2,424.0,434.0,0.98,"2,501",75.8,747,"1,832",40.8,22.0,11.0,66.7,524.0,704.0,74.4,21.3,598.0,18.1,8.0,458.0,13.88,867.0,301.0,34.7,225.0,664,20.1,"2,264",68.6,876,"1,854",47.2,"1,032",31.3,4.6,362.0,10.97,33.9,6.8,"1,185",35.91,15.9
North Ala. (ASUN),,863,26.15,-0.2,378.0,373.0,1.01,"2,446",74.1,878,"1,988",44.2,18.0,15.0,54.5,410.0,578.0,70.9,17.5,552.0,16.7,14.0,372.0,11.27,722.0,264.0,36.6,252.0,682,20.7,"2,452",74.3,892,"1,949",45.8,"1,184",35.9,-1.2,282.0,8.55,37.0,7.6,"1,145",34.7,12.4
North Carolina (ACC),,935,28.33,5.3,397.0,355.0,1.12,"2,514",76.2,876,"2,017",43.4,20.0,13.0,60.6,548.0,739.0,74.2,22.4,555.0,16.8,4.0,345.0,10.45,646.0,213.0,33.0,234.0,751,22.8,"2,340",70.9,866,"1,997",43.4,"1,127",34.2,5.4,369.0,11.18,31.2,7.1,"1,304",39.52,16.6
North Dakota (Summit League),,797,24.15,-1.8,394.0,378.0,1.04,"2,380",72.1,916,"1,948",47.0,13.0,20.0,39.4,360.0,527.0,68.3,16.0,522.0,15.8,7.0,360.0,10.91,618.0,217.0,35.1,304.0,868,26.3,"2,438",73.9,858,"1,945",44.1,"1,160",35.2,-1.8,304.0,9.21,35.0,9.2,"1,101",33.36,10.9
North Dakota St. (Summit League),,910,27.58,-0.3,370.0,379.0,0.98,"2,404",72.8,884,"2,006",44.1,16.0,17.0,48.5,425.0,597.0,71.2,18.1,509.0,15.4,7.0,295.0,8.94,719.0,243.0,33.8,247.0,735,22.3,"2,414",73.2,866,"1,904",45.5,"1,095",33.2,2.9,281.0,8.52,33.6,7.5,"1,191",36.09,12.9
North Florida (ASUN),,779,25.13,-1.4,405.0,378.0,1.07,"2,363",76.2,929,"2,004",46.4,14.0,17.0,45.2,366.0,509.0,71.9,16.4,435.0,14.0,6.0,316.0,10.19,582.0,205.0,35.2,323.0,881,28.4,"2,405",77.6,837,"1,838",45.5,"1,157",37.3,-3.2,279.0,9.0,36.7,10.4,"1,058",34.13,11.8
North Texas (CUSA),,882,23.21,8.7,428.0,451.0,0.95,"2,452",64.5,712,"1,822",39.1,31.0,7.0,81.6,460.0,609.0,75.5,16.0,619.0,16.3,13.0,465.0,12.24,643.0,194.0,30.2,284.0,809,21.3,"2,121",55.8,854,"1,957",43.6,"1,122",29.5,4.4,407.0,10.71,35.1,7.5,"1,289",33.92,12.1
Northeastern (CAA),,750,25.0,-6.4,377.0,432.0,0.87,"1,959",65.3,787,"1,750",45.0,10.0,20.0,33.3,324.0,473.0,68.5,15.8,500.0,16.7,8.0,293.0,9.77,516.0,180.0,34.9,211.0,635,21.2,"2,150",71.7,712,"1,704",41.8,988,32.9,3.1,331.0,11.03,33.2,7.0,"1,081",36.03,10.8
Northern Ariz. (Big Sky),,835,23.86,-1.0,484.0,378.0,1.28,"2,581",73.7,905,"1,917",47.2,12.0,23.0,34.3,426.0,576.0,74.0,16.5,649.0,18.5,16.0,424.0,12.11,739.0,261.0,35.3,295.0,815,23.3,"2,615",74.7,930,"2,123",43.8,"1,190",34.0,0.0,354.0,10.11,36.2,8.4,"1,189",33.97,12.2
Northern Colo. (Big Sky),,805,25.16,-3.9,363.0,382.0,0.95,"2,355",73.6,911,"1,922",47.4,12.0,20.0,37.5,438.0,588.0,74.5,18.4,596.0,18.6,22.0,313.0,9.78,639.0,211.0,33.0,265.0,741,23.2,"2,480",77.5,826,"1,843",44.8,"1,118",34.9,-1.6,263.0,8.22,35.8,8.3,"1,068",33.38,13.7
Northern Ky. (Horizon),,742,21.2,4.2,468.0,395.0,1.18,"2,372",67.8,793,"1,808",43.9,22.0,13.0,62.9,387.0,556.0,69.6,15.9,535.0,15.3,11.0,549.0,15.69,704.0,255.0,36.2,283.0,827,23.6,"2,224",63.5,851,"1,997",42.6,"1,180",33.7,-1.3,394.0,11.26,34.2,8.1,"1,136",32.46,11.1
Northwestern (Big Ten),7,824,24.24,5.0,434.0,327.0,1.33,"2,303",67.7,745,"1,801",41.4,22.0,12.0,64.7,442.0,584.0,75.7,17.2,549.0,16.1,6.0,473.0,13.91,755.0,255.0,33.8,259.0,807,23.7,"2,134",62.8,801,"1,968",40.7,"1,193",35.1,-0.6,350.0,10.29,32.1,7.6,"1,174",34.53,13.0
Northwestern St. (Southland),,714,21.64,2.6,415.0,393.0,1.06,"2,463",74.6,826,"1,819",45.4,22.0,11.0,66.7,385.0,547.0,70.4,16.6,605.0,18.3,13.0,489.0,14.82,614.0,204.0,33.2,278.0,770,23.3,"2,378",72.1,900,"2,024",44.5,"1,180",35.8,-2.0,400.0,12.12,36.1,8.4,"1,114",33.76,11.7
