Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG,Rk,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
Iona,13.0,856,24.46,10.3,520.0,367.0,1.42,"2,658",75.9,826,"2,009",41.1,27.0,8.0,77.1,453.0,619.0,73.2,17.7,568.0,16.2,7.0,503.0,14.37,696.0,207.0,29.7,247.0,683,19.5,"2,297",65.6,979,"2,135",45.9,"1,223",34.9,0.6,389.0,11.11,36.2,7.1,"1,245",35.57,12.9,76,11.35,110.7,99.4,68.7,0.012,-3.28,102.6,105.9,4.03
Iowa,8.0,809,24.52,5.4,541.0,325.0,1.66,"2,642",80.1,939,"1,982",47.4,19.0,14.0,57.6,495.0,671.0,73.8,20.3,488.0,14.8,6.0,424.0,12.85,640.0,234.0,36.6,265.0,779,23.6,"2,464",74.7,941,"2,077",45.3,"1,145",34.7,1.9,398.0,12.06,34.0,8.0,"1,207",36.58,15.0,41,15.39,120.0,104.6,69.5,-0.051,9.75,108.8,99.1,-2.45
Iowa St.,6.0,731,22.15,5.0,457.0,427.0,1.07,"2,231",67.6,671,"1,598",42.0,19.0,14.0,57.6,352.0,525.0,67.0,15.9,633.0,19.2,11.0,546.0,16.55,747.0,252.0,33.7,211.0,637,19.3,"2,067",62.6,834,"1,882",44.3,"1,005",30.5,3.2,380.0,11.52,33.1,6.4,"1,111",33.67,10.7,29,17.04,108.1,91.0,64.1,-0.033,12.56,112.1,99.5,-1.36
Kansas,1.0,941,26.14,7.4,590.0,444.0,1.33,"2,715",75.4,873,"2,103",41.5,28.0,8.0,77.8,460.0,639.0,72.0,17.8,597.0,16.6,10.0,515.0,14.31,742.0,230.0,31.0,251.0,724,20.1,"2,450",68.1,"1,002","2,142",46.8,"1,255",34.9,1.1,353.0,9.81,34.7,7.0,"1,294",35.94,12.8,9,22.85,114.6,91.8,69.2,0.082,13.38,111.0,97.6,6.59
Kansas St.,3.0,892,24.78,6.3,611.0,498.0,1.23,"2,742",76.2,878,"2,070",42.4,26.0,10.0,72.2,562.0,751.0,74.8,20.9,644.0,17.9,14.0,541.0,15.03,764.0,235.0,30.8,258.0,752,20.9,"2,515",69.9,961,"2,083",46.1,"1,221",33.9,0.7,355.0,9.86,34.3,7.2,"1,247",34.64,15.6,21,18.51,113.5,95.0,70.1,0.035,10.35,109.2,98.8,-3.05
Kennesaw St.,14.0,897,25.63,6.0,502.0,434.0,1.16,"2,626",75.0,842,"1,957",43.0,26.0,9.0,74.3,478.0,723.0,66.1,20.7,631.0,18.0,9.0,502.0,14.34,758.0,251.0,33.1,286.0,783,22.4,"2,415",69.0,931,"2,021",46.1,"1,188",33.9,1.3,337.0,9.63,36.5,8.2,"1,234",35.26,13.7,123,4.04,105.9,101.8,68.4,0.131,-1.05,105.2,106.3,4.64
Kent St.,13.0,863,24.66,10.3,432.0,398.0,1.09,"2,665",76.1,777,"1,920",40.5,28.0,7.0,80.0,476.0,656.0,72.6,18.7,659.0,18.8,13.0,551.0,15.74,778.0,242.0,31.1,275.0,818,23.4,"2,305",65.9,957,"2,128",45.0,"1,223",34.9,0.7,386.0,11.03,33.6,7.9,"1,249",35.69,13.6,78,11.2,107.7,96.5,67.7,0.019,-1.35,106.1,107.4,3.04
Kentucky,6.0,867,25.5,6.7,512.0,400.0,1.28,"2,532",74.5,827,"1,929",42.9,22.0,12.0,64.7,461.0,653.0,70.6,19.2,545.0,16.0,10.0,379.0,11.15,685.0,222.0,32.4,213.0,613,18.0,"2,305",67.8,929,"2,045",45.4,"1,022",30.1,9.3,472.0,13.88,34.7,6.3,"1,339",39.38,13.6,27,17.4,116.2,98.8,65.8,-0.019,8.52,109.1,100.5,0.53
Louisiana,13.0,864,25.41,7.9,489.0,415.0,1.18,"2,630",77.4,859,"1,944",44.2,26.0,8.0,76.5,491.0,720.0,68.2,21.2,577.0,17.0,9.0,428.0,12.59,592.0,199.0,33.6,239.0,635,18.7,"2,362",69.5,950,"1,972",48.2,"1,035",30.4,6.1,377.0,11.09,37.6,7.0,"1,241",36.5,14.4,88,8.51,111.4,102.9,68.3,0.06,0.03,104.0,104.0,0.04
Marquette,2.0,829,23.03,9.1,624.0,386.0,1.62,"2,856",79.3,919,"2,067",44.5,29.0,7.0,80.6,422.0,588.0,71.8,16.3,582.0,16.2,10.0,570.0,15.83,776.0,269.0,34.7,322.0,912,25.3,"2,530",70.3,"1,056","2,174",48.6,"1,276",35.4,-3.6,317.0,8.81,35.3,8.9,"1,146",31.83,11.7,10,22.38,119.1,96.7,68.1,0.009,9.31,109.5,100.2,-1.15
Maryland,8.0,833,23.8,6.2,398.0,373.0,1.07,"2,440",69.7,814,"1,912",42.6,22.0,13.0,62.9,483.0,660.0,73.2,18.9,560.0,16.0,8.0,417.0,11.91,610.0,197.0,32.3,233.0,710,20.3,"2,222",63.5,862,"1,925",44.8,"1,124",32.1,1.5,342.0,9.77,32.8,6.7,"1,175",33.57,13.8,23,17.99,113.5,95.6,64.2,-0.023,8.94,109.5,100.5,-3.9
Memphis,8.0,892,25.49,7.6,546.0,467.0,1.17,"2,778",79.4,848,"2,114",40.1,26.0,9.0,74.3,555.0,743.0,74.7,21.2,637.0,18.2,18.0,531.0,15.17,907.0,279.0,30.8,215.0,609,17.4,"2,512",71.8,"1,004","2,096",47.9,"1,234",35.3,0.6,364.0,10.4,35.3,6.1,"1,256",35.89,15.9,20,18.53,114.6,96.1,71.1,-0.051,7.27,108.2,101.0,5.98
Miami FL,5.0,901,24.35,7.1,535.0,411.0,1.3,"2,925",79.1,991,"2,214",44.8,29.0,8.0,78.4,531.0,677.0,78.4,18.3,527.0,14.2,5.0,463.0,12.51,852.0,285.0,33.5,278.0,755,20.4,"2,661",71.9,"1,058","2,205",48.0,"1,188",32.1,2.6,384.0,10.38,36.8,7.5,"1,285",34.73,14.4,24,17.94,119.1,101.2,68.8,0.027,7.3,108.8,101.5,-2.67
Michigan St.,7.0,906,26.65,3.0,497.0,370.0,1.34,"2,411",70.9,834,"1,968",42.4,21.0,13.0,61.8,401.0,528.0,75.9,15.5,557.0,16.4,4.0,333.0,9.79,757.0,245.0,32.4,252.0,642,18.9,"2,309",67.9,879,"1,944",45.2,"1,110",32.6,3.0,307.0,9.03,39.3,7.4,"1,213",35.68,11.8,26,17.61,114.2,96.6,64.7,0.011,12.57,112.1,99.5,5.45
Mississippi St.,11.0,848,24.94,4.7,482.0,434.0,1.11,"2,234",65.7,728,"1,849",39.4,21.0,13.0,61.8,424.0,655.0,64.7,19.3,517.0,15.2,6.0,486.0,14.29,809.0,252.0,31.1,178.0,669,19.7,"2,073",61.0,816,"1,936",42.1,"1,138",33.5,4.4,440.0,12.94,26.6,5.2,"1,288",37.88,12.5,53,13.49,104.8,91.4,63.6,-0.008,6.98,108.0,101.0,-3.89
Missouri,7.0,748,21.37,4.5,559.0,390.0,1.43,"2,762",78.9,891,"1,998",44.6,25.0,10.0,71.4,461.0,608.0,75.8,17.4,631.0,18.0,7.0,592.0,16.91,884.0,309.0,35.0,325.0,904,25.8,"2,604",74.4,988,"2,092",47.2,"1,310",37.4,-7.2,310.0,8.86,36.0,9.3,"1,058",30.23,13.2,57,13.07,118.3,105.3,68.7,0.107,7.33,107.7,100.3,-5.09
Montana St.,14.0,863,24.66,7.0,438.0,415.0,1.06,"2,588",73.9,815,"1,885",43.2,25.0,10.0,71.4,614.0,814.0,75.4,23.3,641.0,18.3,9.0,479.0,13.69,654.0,222.0,33.9,216.0,642,18.3,"2,342",66.9,879,"1,876",46.9,"1,074",30.7,2.3,291.0,8.31,33.6,6.2,"1,154",32.97,17.5,113,5.49,105.1,99.6,66.3,0.076,-0.89,106.0,106.8,4.17
NC State,11.0,859,25.26,6.9,434.0,320.0,1.36,"2,643",77.7,859,"1,931",44.5,23.0,11.0,67.6,398.0,551.0,72.2,16.2,592.0,17.4,13.0,449.0,13.21,648.0,205.0,31.6,281.0,810,23.8,"2,408",70.8,982,"2,181",45.0,"1,185",34.9,1.7,385.0,11.32,34.7,8.3,"1,244",36.59,11.7,52,13.55,113.6,100.0,69.0,0.02,5.5,108.5,103.0,-5.02
Nevada,11.0,856,25.94,4.8,474.0,339.0,1.4,"2,397",72.6,781,"1,836",42.5,22.0,11.0,66.7,561.0,708.0,79.2,21.5,592.0,17.9,12.0,413.0,12.52,779.0,255.0,32.7,238.0,678,20.5,"2,238",67.8,799,"1,794",44.5,"1,107",33.5,-0.2,245.0,7.42,35.1,7.2,"1,101",33.36,17.0,62,12.74,111.8,99.1,65.9,0.033,6.98,108.6,101.7,3.34
Northwestern,7.0,824,24.24,5.0,434.0,327.0,1.33,"2,303",67.7,745,"1,801",41.4,22.0,12.0,64.7,442.0,584.0,75.7,17.2,549.0,16.1,6.0,473.0,13.91,755.0,255.0,33.8,259.0,807,23.7,"2,134",62.8,801,"1,968",40.7,"1,193",35.1,-0.6,350.0,10.29,32.1,7.6,"1,174",34.53,13.0,38,15.59,109.9,94.3,64.4,0.025,9.29,109.3,100.1,-4.28
Oral Roberts,12.0,975,27.86,13.1,514.0,329.0,1.56,"2,915",83.3,918,"2,207",41.6,30.0,5.0,85.7,424.0,548.0,77.4,15.7,453.0,12.9,3.0,445.0,12.71,868.0,301.0,34.7,375.0,"1,027",29.3,"2,458",70.2,"1,058","2,231",47.4,"1,287",36.8,0.0,313.0,8.94,36.5,10.7,"1,288",36.8,12.1,72,11.65,113.9,102.2,70.2,0.11,-4.02,103.8,107.8,7.06
Penn St.,10.0,978,26.43,4.0,508.0,332.0,1.53,"2,673",72.2,933,"2,171",43.0,23.0,14.0,62.2,332.0,449.0,73.9,12.1,572.0,15.5,7.0,317.0,8.57,816.0,267.0,32.7,385.0,995,26.9,"2,524",68.2,978,"2,111",46.3,"1,293",34.9,-2.4,227.0,6.14,38.7,10.4,"1,205",32.57,9.0,36,16.04,117.2,101.1,64.3,-0.003,10.08,109.5,99.4,-4.9
Pittsburgh,11.0,937,26.03,5.4,509.0,400.0,1.27,"2,704",75.1,892,"2,122",42.0,24.0,12.0,66.7,519.0,684.0,75.9,19.0,585.0,16.3,10.0,406.0,11.28,836.0,273.0,32.7,325.0,903,25.1,"2,510",69.7,930,"2,081",44.7,"1,246",34.6,1.5,364.0,10.11,36.0,9.0,"1,301",36.14,14.4,59,12.86,114.2,101.3,67.3,0.031,5.1,108.2,103.1,-2.73
Princeton,15.0,923,28.84,7.0,436.0,385.0,1.13,"2,416",75.5,810,"1,904",42.5,23.0,9.0,71.9,410.0,576.0,71.2,18.0,512.0,16.0,7.0,336.0,10.5,633.0,204.0,32.2,272.0,796,24.9,"2,192",68.5,867,"1,906",45.5,"1,055",33.0,6.0,325.0,10.16,34.2,8.5,"1,248",39.0,12.8,91,8.04,109.5,101.5,66.9,0.027,-0.43,104.6,105.0,-4.86
Providence,11.0,857,25.97,6.3,482.0,387.0,1.25,"2,552",77.3,872,"1,980",44.0,21.0,12.0,63.6,532.0,717.0,74.2,21.7,495.0,15.0,5.0,387.0,11.73,665.0,225.0,33.8,218.0,630,19.1,"2,343",71.0,901,"1,975",45.6,"1,069",32.4,5.7,400.0,12.12,34.6,6.6,"1,257",38.09,16.1,40,15.39,116.2,100.8,66.7,-0.018,7.6,108.6,101.0,-8.75
Purdue,1.0,924,26.4,9.9,542.0,388.0,1.4,"2,543",72.7,842,"2,024",41.6,29.0,6.0,82.9,536.0,720.0,74.4,20.6,479.0,13.7,0.0,348.0,9.94,717.0,225.0,31.4,239.0,743,21.2,"2,196",62.7,884,"1,936",45.7,975,27.9,10.8,430.0,12.29,32.2,6.8,"1,354",38.69,15.3,7,23.24,117.7,94.5,64.2,0.021,9.17,110.1,100.9,0.71
San Diego St.,5.0,990,25.38,7.7,504.0,452.0,1.12,"2,775",71.2,878,"2,146",40.9,32.0,7.0,82.1,532.0,737.0,72.2,18.9,634.0,16.3,9.0,503.0,12.9,857.0,243.0,28.4,271.0,778,19.9,"2,475",63.5,986,"2,251",43.8,"1,255",32.2,4.1,426.0,10.92,34.8,6.9,"1,416",36.31,13.6,14,20.34,110.8,90.4,65.7,0.075,9.58,110.4,100.8,6.8
USC,10.0,854,25.88,5.0,445.0,410.0,1.09,"2,389",72.4,776,"1,977",39.3,22.0,11.0,66.7,465.0,624.0,74.5,18.9,568.0,17.2,15.0,406.0,12.3,733.0,245.0,33.4,214.0,620,18.8,"2,224",67.4,855,"1,878",45.5,"1,181",35.8,-0.5,310.0,9.39,34.5,6.5,"1,164",35.27,14.1,45,14.85,112.3,97.5,68.0,0.013,7.6,107.2,99.6,1.15
TCU,6.0,852,24.34,6.8,565.0,416.0,1.36,"2,634",75.3,871,"2,038",42.7,22.0,13.0,62.9,507.0,725.0,69.9,20.7,578.0,16.5,4.0,539.0,15.4,714.0,220.0,30.8,197.0,636,18.2,"2,395",68.4,965,"2,128",45.3,"1,221",34.9,0.9,402.0,11.49,31.0,5.6,"1,254",35.83,14.5,25,17.78,112.1,94.3,69.7,-0.036,10.71,109.7,99.0,-7.52
Tennessee,4.0,918,25.5,12.9,601.0,431.0,1.39,"2,547",70.8,707,"1,895",37.3,25.0,11.0,69.4,455.0,643.0,70.8,17.9,596.0,16.6,7.0,528.0,14.67,792.0,210.0,26.5,276.0,840,23.3,"2,084",57.9,908,"2,097",43.3,"1,147",31.9,6.5,464.0,12.89,32.9,7.7,"1,382",38.39,12.6,6,23.8,111.3,87.5,65.1,-0.063,8.69,109.2,100.5,2.76
Texas,2.0,930,24.47,10.1,614.0,439.0,1.4,"2,963",78.0,906,"2,132",42.5,29.0,9.0,76.3,523.0,699.0,74.8,18.4,663.0,17.4,10.0,595.0,15.66,741.0,240.0,32.4,274.0,790,20.8,"2,578",67.8,"1,083","2,289",47.3,"1,307",34.4,-0.3,366.0,9.63,34.7,7.2,"1,296",34.11,13.8,5,24.43,116.5,92.1,68.8,0.017,11.91,111.1,99.2,-0.76
Texas A&M,7.0,853,24.37,6.3,439.0,430.0,1.02,"2,549",72.8,783,"1,924",40.7,25.0,10.0,71.4,662.0,872.0,75.9,24.9,637.0,18.2,15.0,490.0,14.0,880.0,290.0,33.0,217.0,666,19.0,"2,327",66.5,835,"1,932",43.2,"1,122",32.1,4.7,435.0,12.43,32.6,6.2,"1,288",36.8,18.9,33,16.71,113.7,97.0,65.9,0.045,7.3,108.3,101.0,-2.99
Texas Southern,16.0,908,25.94,-2.7,412.0,511.0,0.81,"2,422",69.2,868,"2,029",42.8,14.0,21.0,40.0,471.0,709.0,66.4,20.3,657.0,18.8,17.0,481.0,13.74,724.0,240.0,33.1,163.0,588,16.8,"2,518",71.9,894,"2,095",42.7,"1,242",35.5,2.0,405.0,11.57,27.7,4.7,"1,313",37.51,13.5,305,-11.16,95.4,106.6,69.1,0.028,-5.47,100.5,106.0,10.37
UCSB,14.0,834,23.83,5.9,495.0,397.0,1.25,"2,510",71.7,845,"1,902",44.4,27.0,8.0,77.1,468.0,644.0,72.7,18.4,562.0,16.1,12.0,430.0,12.29,599.0,206.0,34.4,194.0,555,15.9,"2,305",65.9,924,"1,875",49.3,"1,057",30.2,1.6,279.0,7.97,35.0,5.5,"1,113",31.8,13.4,112,5.68,110.3,104.6,64.7,0.072,-2.53,102.7,105.2,-3.31
UCLA,2.0,889,24.03,13.5,538.0,371.0,1.45,"2,743",74.1,812,"1,992",40.8,31.0,6.0,83.8,450.0,616.0,73.1,16.6,573.0,15.5,9.0,580.0,15.68,772.0,240.0,31.1,227.0,651,17.6,"2,245",60.7,"1,033","2,245",46.0,"1,198",32.4,2.9,418.0,11.3,34.9,6.1,"1,307",35.32,12.2,3,27.29,115.2,88.0,66.1,-0.009,8.7,109.2,100.5,0.15
UConn,4.0,"1,027",26.33,14.4,684.0,503.0,1.36,"3,064",78.6,856,"2,145",39.9,31.0,8.0,79.5,547.0,719.0,76.1,18.4,692.0,17.7,10.0,493.0,12.64,653.0,194.0,29.7,353.0,973,24.9,"2,501",64.1,"1,082","2,333",46.4,"1,173",30.1,9.3,507.0,13.0,36.3,9.1,"1,534",39.33,14.0,1,29.86,120.8,90.9,66.6,-0.056,10.39,109.7,99.3,-1.75
UNC Asheville,15.0,924,26.4,5.3,446.0,496.0,0.9,"2,604",74.4,901,"2,125",42.4,27.0,8.0,77.1,536.0,772.0,69.4,22.1,542.0,15.5,13.0,446.0,12.74,731.0,217.0,29.7,274.0,707,20.2,"2,418",69.1,897,"1,890",47.5,"1,196",34.2,0.7,295.0,8.43,38.8,7.8,"1,219",34.83,15.3,148,1.22,104.0,102.7,68.3,0.18,-4.62,102.7,107.3,-0.7
Utah St.,10.0,943,26.94,8.3,585.0,426.0,1.37,"2,736",78.2,870,"2,055",42.3,26.0,9.0,74.3,517.0,678.0,76.3,19.4,589.0,16.8,6.0,388.0,11.09,694.0,241.0,34.7,325.0,840,24.0,"2,446",69.9,947,"1,975",47.9,"1,103",31.5,4.0,300.0,8.57,38.7,9.3,"1,243",35.51,14.8,28,17.39,116.3,98.9,68.6,0.006,6.84,108.4,101.5,2.87
VCU,12.0,837,23.91,7.9,456.0,468.0,0.97,"2,480",70.9,789,"1,903",41.5,27.0,8.0,77.1,540.0,776.0,69.6,22.2,575.0,16.4,11.0,572.0,16.34,649.0,207.0,31.9,212.0,610,17.4,"2,202",62.9,864,"1,867",46.3,"1,157",33.1,0.1,324.0,9.26,34.8,6.1,"1,161",33.17,15.4,60,12.84,106.6,93.8,67.9,0.02,0.79,105.0,104.2,-1.77
