Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Opp Non Conf NetRtg
123,Washington St.,3.92,111.7,107.8,70.5,0.076,4.2,109.4,105.2,2.49
124,Samford,3.87,112.6,108.7,70.9,0.019,-2.07,105.9,107.9,-0.14
125,Louisiana Tech,3.87,109,105.1,64.5,0.031,1.09,106.2,105.1,-2.33
126,N.C. State,3.82,107.6,103.8,65.3,-0.079,7.01,111.1,104.1,-5.2
127,Northern Colorado,3.79,112.2,108.4,68.7,0.035,-3.58,105.6,109.2,2.09
128,Belmont,3.43,112.4,109,70.6,0.081,0.07,106.9,106.9,-1.57
129,St. Thomas,3.39,113.6,110.2,67.8,-0.01,-3.56,106.8,110.4,-0.58
130,Kennesaw St.,3.36,107.2,103.8,70.3,0.035,3.31,107.3,104,3.17
131,Cornell,3.33,114.9,111.6,70.9,-0.033,-2.6,105.6,108.2,-2.57
132,New Mexico St.,3.11,104.4,101.3,64.8,-0.037,2.53,107,104.5,1.74
133,North Dakota St.,2.73,115.4,112.6,64.9,-0.006,-3.1,107.5,110.6,-0.24
134,South Dakota St.,2.6,109.7,107.1,69,-0.018,-1.83,108,109.8,4.1
135,Wichita St.,2.58,107.1,104.5,68.7,0.034,1.91,107.6,105.7,1.06
136,Duquesne,2.56,106,103.5,65.2,-0.127,1.81,107,105.2,-1.94
137,Tulane,2.21,108.8,106.6,66.7,-0.033,-1.16,106.5,107.7,-6.55
138,Robert Morris,2.17,107.1,104.9,67.8,0.088,-6.15,104.6,110.7,-8.54
139,Furman,2.1,110.1,108,65.9,0.112,-1.07,106.6,107.7,0.46
140,Illinois St.,2.03,112,110,65.7,-0.015,0.15,107.5,107.4,-1.51
141,Murray St.,1.97,106.5,104.6,64.8,-0.05,1.52,107.6,106.1,1.33
142,East Tennessee St.,1.83,106.7,104.9,65.1,-0.069,-3.41,105.9,109.3,-3.19
143,Milwaukee,1.83,107.3,105.5,68.7,0.004,-3.07,106.1,109.2,2.49
144,UNC Greensboro,1.7,107.1,105.4,63.8,-0.016,-2.39,106.6,109,1.45
145,Seattle,1.57,104,102.4,65.9,-0.138,-0.07,105,105,4.93
146,Davidson,1.36,109.6,108.3,65.9,-0.02,0.28,106.4,106.1,-4.77
147,UC Santa Barbara,1.2,108.6,107.4,65.5,-0.001,-2.71,104.8,107.5,-8.76
148,Bryant,1.18,106.8,105.6,72.5,-0.004,-7.04,103,110,0.39
149,Miami OH,1.11,108,106.9,69,0.086,-5.35,103.9,109.2,-3.25
150,Radford,0.71,110.4,109.7,62.8,0.059,-2.05,106.8,108.9,1.48
151,Rhode Island,0.7,108.1,107.4,70.4,0.016,-0.83,105.7,106.6,-6.62
152,Towson,0.7,106.9,106.2,63.6,0.094,-2.05,105.9,108,3.55
153,Charleston,0.63,106.1,105.5,70.1,0.141,-2.68,105.9,108.5,0.11
154,UTEP,0.54,105.4,104.8,68.8,0.028,2.62,107,104.4,0.67
155,Western Kentucky,0.51,103.5,103,71.7,0.034,2.42,106.7,104.3,2.1
156,Loyola Marymount,0.49,104.2,103.7,67.2,0.062,2.58,108.7,106.1,-0.39
157,Omaha,0.46,111.1,110.6,67.8,0.071,-2.55,106.7,109.3,0.38
158,UC Riverside,0.41,109.8,109.4,67.1,0.138,2.09,107.8,105.7,8.61
159,James Madison,0.35,110.6,110.2,64.9,0.069,-1.13,105.7,106.8,3.9
160,Texas A&M Corpus Chris,0.29,106,105.7,67.4,-0.028,-3.69,104.2,107.9,3.86
161,Montana,0.24,110.7,110.5,67.1,0.186,-2.36,106.4,108.8,8.56
180,Norfolk St.,-1.5,107.2,108.7,66.4,0.056,-7.18,103.1,110.3,3.09
216,SIUE,-4.25,102,106.2,65.9,0.052,-9.01,101.4,110.4,-3.37
238,Mount St. Mary's,-6.03,101.1,107.1,67.5,0.147,-7.16,102,109.1,-1.16
249,American,-6.68,102.4,109.1,63.6,0.123,-7.16,103.1,110.3,1.58
273,Alabama St.,-9.25,101.4,110.7,67.8,0.061,-8.82,100.7,109.5,6.21
310,Saint Francis,-12.74,99.7,112.4,66.9,0.06,-6.86,101.6,108.5,8.06
